Date,Time (GMT),Verified (ft)
5/29/2001,0:00,-1.97
5/29/2001,0:06,-2.02
5/29/2001,0:12,-2.04
5/29/2001,0:18,-1.97
5/29/2001,0:24,-1.9
5/29/2001,0:30,-1.9
5/29/2001,0:36,-1.85
5/29/2001,0:42,-1.76
5/29/2001,0:48,-1.63
5/29/2001,0:54,-1.6
5/29/2001,1:00,-1.55
5/29/2001,1:06,-1.51
5/29/2001,1:12,-1.44
5/29/2001,1:18,-1.31
5/29/2001,1:24,-1.31
5/29/2001,1:30,-1.27
5/29/2001,1:36,-1.22
5/29/2001,1:42,-1.15
5/29/2001,1:48,-1.03
5/29/2001,1:54,-0.97
5/29/2001,2:00,-0.93
5/29/2001,2:06,-0.81
5/29/2001,2:12,-0.61
5/29/2001,2:18,-0.59
5/29/2001,2:24,-0.5
5/29/2001,2:30,-0.41
5/29/2001,2:36,-0.26
5/29/2001,2:42,-0.08
5/29/2001,2:48,0
5/29/2001,2:54,0.03
5/29/2001,3:00,0.06
5/29/2001,3:06,0.23
5/29/2001,3:12,0.32
5/29/2001,3:18,0.46
5/29/2001,3:24,0.55
5/29/2001,3:30,0.68
5/29/2001,3:36,0.81
5/29/2001,3:42,0.98
5/29/2001,3:48,1.07
5/29/2001,3:54,1.18
5/29/2001,4:00,1.28
5/29/2001,4:06,1.4
5/29/2001,4:12,1.49
5/29/2001,4:18,1.6
5/29/2001,4:24,1.68
5/29/2001,4:30,1.76
5/29/2001,4:36,1.86
5/29/2001,4:42,1.89
5/29/2001,4:48,1.92
5/29/2001,4:54,1.99
5/29/2001,5:00,2.05
5/29/2001,5:06,2.12
5/29/2001,5:12,2.13
5/29/2001,5:18,2.16
5/29/2001,5:24,2.17
5/29/2001,5:30,2.21
5/29/2001,5:36,2.25
5/29/2001,5:42,2.31
5/29/2001,5:48,2.32
5/29/2001,5:54,2.34
5/29/2001,6:00,2.42
5/29/2001,6:06,2.43
5/29/2001,6:12,2.45
5/29/2001,6:18,2.45
5/29/2001,6:24,2.44
5/29/2001,6:30,2.43
5/29/2001,6:36,2.36
5/29/2001,6:42,2.33
5/29/2001,6:48,2.31
5/29/2001,6:54,2.35
5/29/2001,7:00,2.3
5/29/2001,7:06,2.21
5/29/2001,7:12,2.17
5/29/2001,7:18,2.07
5/29/2001,7:24,1.97
5/29/2001,7:30,1.87
5/29/2001,7:36,1.84
5/29/2001,7:42,1.78
5/29/2001,7:48,1.65
5/29/2001,7:54,1.61
5/29/2001,8:00,1.59
5/29/2001,8:06,1.5
5/29/2001,8:12,1.38
5/29/2001,8:18,1.37
5/29/2001,8:24,1.32
5/29/2001,8:30,1.2
5/29/2001,8:36,1.1
5/29/2001,8:42,1
5/29/2001,8:48,0.89
5/29/2001,8:54,0.77
5/29/2001,9:00,0.65
5/29/2001,9:06,0.51
5/29/2001,9:12,0.44
5/29/2001,9:18,0.37
5/29/2001,9:24,0.27
5/29/2001,9:30,0.18
5/29/2001,9:36,0.1
5/29/2001,9:42,-0.02
5/29/2001,9:48,-0.18
5/29/2001,9:54,-0.35
5/29/2001,10:00,-0.5
5/29/2001,10:06,-0.65
5/29/2001,10:12,-0.73
5/29/2001,10:18,-0.86
5/29/2001,10:24,-0.97
5/29/2001,10:30,-1.07
5/29/2001,10:36,-1.1
5/29/2001,10:42,-1.2
5/29/2001,10:48,-1.28
5/29/2001,10:54,-1.41
5/29/2001,11:00,-1.49
5/29/2001,11:06,-1.57
5/29/2001,11:12,-1.63
5/29/2001,11:18,-1.7
5/29/2001,11:24,-1.79
5/29/2001,11:30,-1.87
5/29/2001,11:36,-1.95
5/29/2001,11:42,-2
5/29/2001,11:48,-2.03
5/29/2001,11:54,-2.12
5/29/2001,12:00,-2.12
5/29/2001,12:06,-2.15
5/29/2001,12:12,-2.16
5/29/2001,12:18,-2.24
5/29/2001,12:24,-2.28
5/29/2001,12:30,-2.37
5/29/2001,12:36,-2.33
5/29/2001,12:42,-2.32
5/29/2001,12:48,-2.26
5/29/2001,12:54,-2.28
5/29/2001,13:00,-2.27
5/29/2001,13:06,-2.27
5/29/2001,13:12,-2.22
5/29/2001,13:18,-2.22
5/29/2001,13:24,-2.26
5/29/2001,13:30,-2.21
5/29/2001,13:36,-2.13
5/29/2001,13:42,-2.01
5/29/2001,13:48,-1.96
5/29/2001,13:54,-1.86
5/29/2001,14:00,-1.81
5/29/2001,14:06,-1.76
5/29/2001,14:12,-1.74
5/29/2001,14:18,-1.62
5/29/2001,14:24,-1.49
5/29/2001,14:30,-1.47
5/29/2001,14:36,-1.44
5/29/2001,14:42,-1.34
5/29/2001,14:48,-1.29
5/29/2001,14:54,-1.24
5/29/2001,15:00,-1.18
5/29/2001,15:06,-1.1
5/29/2001,15:12,-0.96
5/29/2001,15:18,-0.85
5/29/2001,15:24,-0.74
5/29/2001,15:30,-0.59
5/29/2001,15:36,-0.51
5/29/2001,15:42,-0.48
5/29/2001,15:48,-0.35
5/29/2001,15:54,-0.43
5/29/2001,16:00,-0.31
5/29/2001,16:06,-0.15
5/29/2001,16:12,-0.1
5/29/2001,16:18,0.08
5/29/2001,16:24,0.15
5/29/2001,16:30,0.3
5/29/2001,16:36,0.4
5/29/2001,16:42,0.5
5/29/2001,16:48,0.6
5/29/2001,16:54,0.7
5/29/2001,17:00,0.72
5/29/2001,17:06,0.79
5/29/2001,17:12,0.86
5/29/2001,17:18,0.94
5/29/2001,17:24,0.97
5/29/2001,17:30,0.98
5/29/2001,17:36,1.04
5/29/2001,17:42,1.14
5/29/2001,17:48,1.19
5/29/2001,17:54,1.21
5/29/2001,18:00,1.3
5/29/2001,18:06,1.38
5/29/2001,18:12,1.42
5/29/2001,18:18,1.46
5/29/2001,18:24,1.47
5/29/2001,18:30,1.49
5/29/2001,18:36,1.48
5/29/2001,18:42,1.53
5/29/2001,18:48,1.49
5/29/2001,18:54,1.49
5/29/2001,19:00,1.51
5/29/2001,19:06,1.57
5/29/2001,19:12,1.52
5/29/2001,19:18,1.55
5/29/2001,19:24,1.48
5/29/2001,19:30,1.52
5/29/2001,19:36,1.5
5/29/2001,19:42,1.48
5/29/2001,19:48,1.43
5/29/2001,19:54,1.37
5/29/2001,20:00,1.36
5/29/2001,20:06,1.27
5/29/2001,20:12,1.15
5/29/2001,20:18,1.06
5/29/2001,20:24,1.08
5/29/2001,20:30,1
5/29/2001,20:36,0.99
5/29/2001,20:42,0.95
5/29/2001,20:48,0.84
5/29/2001,20:54,0.69
5/29/2001,21:00,0.69
5/29/2001,21:06,0.62
5/29/2001,21:12,0.53
5/29/2001,21:18,0.46
5/29/2001,21:24,0.35
