Date,Time (GMT),Verified (ft)
4/29/2015,0:00,3.6
4/29/2015,0:06,3.5
4/29/2015,0:12,3.42
4/29/2015,0:18,3.34
4/29/2015,0:24,3.28
4/29/2015,0:30,3.18
4/29/2015,0:36,3.08
4/29/2015,0:42,3.02
4/29/2015,0:48,2.96
4/29/2015,0:54,2.87
4/29/2015,1:00,2.73
4/29/2015,1:06,2.64
4/29/2015,1:12,2.57
4/29/2015,1:18,2.49
4/29/2015,1:24,2.39
4/29/2015,1:30,2.26
4/29/2015,1:36,2.2
4/29/2015,1:42,2.17
4/29/2015,1:48,2.12
4/29/2015,1:54,2.02
4/29/2015,2:00,1.96
4/29/2015,2:06,1.86
4/29/2015,2:12,1.78
4/29/2015,2:18,1.73
4/29/2015,2:24,1.69
4/29/2015,2:30,1.63
4/29/2015,2:36,1.58
4/29/2015,2:42,1.52
4/29/2015,2:48,1.5
4/29/2015,2:54,1.47
4/29/2015,3:00,1.41
4/29/2015,3:06,1.37
4/29/2015,3:12,1.36
4/29/2015,3:18,1.34
4/29/2015,3:24,1.34
4/29/2015,3:30,1.3
4/29/2015,3:36,1.29
4/29/2015,3:42,1.26
4/29/2015,3:48,1.26
4/29/2015,3:54,1.28
4/29/2015,4:00,1.31
4/29/2015,4:06,1.34
4/29/2015,4:12,1.34
4/29/2015,4:18,1.36
4/29/2015,4:24,1.36
4/29/2015,4:30,1.36
4/29/2015,4:36,1.42
4/29/2015,4:42,1.46
4/29/2015,4:48,1.51
4/29/2015,4:54,1.56
4/29/2015,5:00,1.53
4/29/2015,5:06,1.56
4/29/2015,5:12,1.62
4/29/2015,5:18,1.65
4/29/2015,5:24,1.72
4/29/2015,5:30,1.76
4/29/2015,5:36,1.81
4/29/2015,5:42,1.86
4/29/2015,5:48,1.92
4/29/2015,5:54,1.98
4/29/2015,6:00,2.03
4/29/2015,6:06,2.11
4/29/2015,6:12,2.2
4/29/2015,6:18,2.27
4/29/2015,6:24,2.31
4/29/2015,6:30,2.35
4/29/2015,6:36,2.4
4/29/2015,6:42,2.5
4/29/2015,6:48,2.58
4/29/2015,6:54,2.67
4/29/2015,7:00,2.74
4/29/2015,7:06,2.82
4/29/2015,7:12,2.9
4/29/2015,7:18,2.99
4/29/2015,7:24,3.09
4/29/2015,7:30,3.21
4/29/2015,7:36,3.27
4/29/2015,7:42,3.39
4/29/2015,7:48,3.44
4/29/2015,7:54,3.5
4/29/2015,8:00,3.54
4/29/2015,8:06,3.59
4/29/2015,8:12,3.68
4/29/2015,8:18,3.78
4/29/2015,8:24,3.85
4/29/2015,8:30,3.9
4/29/2015,8:36,3.97
4/29/2015,8:42,4.06
