Date,Time (GMT),Verified (ft)
6/29/1996,0:00,2.56
6/29/1996,0:06,2.48
6/29/1996,0:12,2.46
6/29/1996,0:18,2.42
6/29/1996,0:24,2.38
6/29/1996,0:30,2.32
6/29/1996,0:36,2.25
6/29/1996,0:42,2.17
6/29/1996,0:48,2.07
6/29/1996,0:54,1.99
6/29/1996,1:00,1.9
6/29/1996,1:06,1.79
6/29/1996,1:12,1.69
6/29/1996,1:18,1.59
6/29/1996,1:24,1.56
6/29/1996,1:30,1.41
6/29/1996,1:36,1.27
6/29/1996,1:42,1.18
6/29/1996,1:48,1.06
6/29/1996,1:54,0.98
6/29/1996,2:00,0.84
6/29/1996,2:06,0.68
6/29/1996,2:12,0.53
6/29/1996,2:18,0.38
6/29/1996,2:24,0.27
6/29/1996,2:30,0.12
6/29/1996,2:36,-0.02
6/29/1996,2:42,-0.13
6/29/1996,2:48,-0.23
6/29/1996,2:54,-0.36
6/29/1996,3:00,-0.49
6/29/1996,3:06,-0.62
6/29/1996,3:12,-0.71
6/29/1996,3:18,-0.87
6/29/1996,3:24,-0.99
6/29/1996,3:30,-1.09
6/29/1996,3:36,-1.2
6/29/1996,3:42,-1.32
6/29/1996,3:48,-1.42
6/29/1996,3:54,-1.51
6/29/1996,4:00,-1.6
6/29/1996,4:06,-1.64
6/29/1996,4:12,-1.75
6/29/1996,4:18,-1.81
6/29/1996,4:24,-1.9
6/29/1996,4:30,-1.95
6/29/1996,4:36,-2
6/29/1996,4:42,-2.05
6/29/1996,4:48,-2.1
6/29/1996,4:54,-2.13
6/29/1996,5:00,-2.2
6/29/1996,5:06,-2.21
6/29/1996,5:12,-2.24
6/29/1996,5:18,-2.23
6/29/1996,5:24,-2.23
6/29/1996,5:30,-2.21
6/29/1996,5:36,-2.21
6/29/1996,5:42,-2.19
6/29/1996,5:48,-2.18
6/29/1996,5:54,-2.12
6/29/1996,6:00,-2.12
6/29/1996,6:06,-2.09
6/29/1996,6:12,-2.05
6/29/1996,6:18,-1.99
6/29/1996,6:24,-1.94
6/29/1996,6:30,-1.9
6/29/1996,6:36,-1.79
6/29/1996,6:42,-1.75
6/29/1996,6:48,-1.66
6/29/1996,6:54,-1.6
6/29/1996,7:00,-1.56
6/29/1996,7:06,-1.51
6/29/1996,7:12,-1.42
6/29/1996,7:18,-1.33
6/29/1996,7:24,-1.26
6/29/1996,7:30,-1.18
6/29/1996,7:36,-1.09
6/29/1996,7:42,-0.97
6/29/1996,7:48,-0.9
6/29/1996,7:54,-0.81
6/29/1996,8:00,-0.71
6/29/1996,8:06,-0.62
6/29/1996,8:12,-0.52
6/29/1996,8:18,-0.41
6/29/1996,8:24,-0.33
6/29/1996,8:30,-0.24
6/29/1996,8:36,-0.13
6/29/1996,8:42,-0.02
6/29/1996,8:48,0.08
6/29/1996,8:54,0.19
6/29/1996,9:00,0.31
6/29/1996,9:06,0.43
6/29/1996,9:12,0.53
6/29/1996,9:18,0.63
6/29/1996,9:24,0.71
6/29/1996,9:30,0.77
6/29/1996,9:36,0.83
6/29/1996,9:42,0.91
6/29/1996,9:48,0.98
6/29/1996,9:54,1.05
6/29/1996,10:00,1.14
6/29/1996,10:06,1.21
6/29/1996,10:12,1.3
6/29/1996,10:18,1.36
6/29/1996,10:24,1.4
6/29/1996,10:30,1.45
6/29/1996,10:36,1.49
6/29/1996,10:42,1.53
6/29/1996,10:48,1.54
6/29/1996,10:54,1.56
6/29/1996,11:00,1.59
6/29/1996,11:06,1.59
6/29/1996,11:12,1.6
6/29/1996,11:18,1.61
6/29/1996,11:24,1.65
6/29/1996,11:30,1.66
6/29/1996,11:36,1.67
6/29/1996,11:42,1.6
6/29/1996,11:48,1.57
6/29/1996,11:54,1.59
6/29/1996,12:00,1.53
6/29/1996,12:06,1.52
6/29/1996,12:12,1.48
6/29/1996,12:18,1.43
6/29/1996,12:24,1.39
6/29/1996,12:30,1.33
6/29/1996,12:36,1.28
6/29/1996,12:42,1.19
6/29/1996,12:48,1.17
6/29/1996,12:54,1.1
6/29/1996,13:00,1.04
6/29/1996,13:06,0.94
6/29/1996,13:12,0.88
6/29/1996,13:18,0.8
6/29/1996,13:24,0.69
6/29/1996,13:30,0.63
6/29/1996,13:36,0.56
6/29/1996,13:42,0.41
6/29/1996,13:48,0.31
6/29/1996,13:54,0.22
6/29/1996,14:00,0.11
6/29/1996,14:06,0.03
6/29/1996,14:12,-0.09
6/29/1996,14:18,-0.17
6/29/1996,14:24,-0.29
6/29/1996,14:30,-0.39
6/29/1996,14:36,-0.54
6/29/1996,14:42,-0.68
6/29/1996,14:48,-0.78
6/29/1996,14:54,-0.9
6/29/1996,15:00,-1.02
6/29/1996,15:06,-1.12
6/29/1996,15:12,-1.25
6/29/1996,15:18,-1.4
6/29/1996,15:24,-1.53
6/29/1996,15:30,-1.6
6/29/1996,15:36,-1.74
6/29/1996,15:42,-1.84
6/29/1996,15:48,-1.93
6/29/1996,15:54,-2
6/29/1996,16:00,-2.1
6/29/1996,16:06,-2.18
6/29/1996,16:12,-2.29
