Date,Time (GMT),Verified (ft)
7/20/1960,0:00,1.39
7/20/1960,1:00,0.59
7/20/1960,2:00,-0.31
7/20/1960,3:00,-1.31
7/20/1960,4:00,-2.01
7/20/1960,5:00,-2.01
7/20/1960,6:00,-1.71
7/20/1960,7:00,-1.41
7/20/1960,8:00,-0.81
7/20/1960,9:00,-0.31
7/20/1960,10:00,0.29
7/20/1960,11:00,0.49
7/20/1960,12:00,0.49
7/20/1960,13:00,-0.01
7/20/1960,14:00,-0.91
7/20/1960,15:00,-1.81
7/20/1960,16:00,-2.41
7/20/1960,17:00,-2.51
7/20/1960,18:00,-2.31
7/20/1960,19:00,-1.51
7/20/1960,20:00,-0.81
7/20/1960,21:00,0.29
7/20/1960,22:00,1.19
7/20/1960,23:00,1.59
7/21/1960,0:00,1.59
7/21/1960,1:00,1.29
7/21/1960,2:00,0.49
7/21/1960,3:00,-0.51
7/21/1960,4:00,-1.51
7/21/1960,5:00,-2.21
7/21/1960,6:00,-2.31
7/21/1960,7:00,-2.11
7/21/1960,8:00,-1.51
7/21/1960,9:00,-0.71
7/21/1960,10:00,0.09
7/21/1960,11:00,0.59
7/21/1960,12:00,0.79
7/21/1960,13:00,0.59
7/21/1960,14:00,0.09
7/21/1960,15:00,-0.81
7/21/1960,16:00,-1.71
7/21/1960,17:00,-2.21
7/21/1960,18:00,-2.31
7/21/1960,19:00,-2.01
7/21/1960,20:00,-1.31
7/21/1960,21:00,-0.31
7/21/1960,22:00,0.69
7/21/1960,23:00,1.39
7/22/1960,0:00,1.69
7/22/1960,1:00,1.69
7/22/1960,2:00,0.99
7/22/1960,3:00,-0.01
7/22/1960,4:00,-1.21
7/22/1960,5:00,-2.01
7/22/1960,6:00,-2.61
7/22/1960,7:00,-2.61
7/22/1960,8:00,-2.31
7/22/1960,9:00,-1.61
7/22/1960,10:00,-0.71
7/22/1960,11:00,-0.11
7/22/1960,12:00,0.39
7/22/1960,13:00,0.49
7/22/1960,14:00,0.19
7/22/1960,15:00,-0.61
7/22/1960,16:00,-1.61
7/22/1960,17:00,-2.41
7/22/1960,18:00,-2.91
7/22/1960,19:00,-2.81
7/22/1960,20:00,-2.21
7/22/1960,21:00,-1.31
7/22/1960,22:00,-0.21
7/22/1960,23:00,0.79
7/23/1960,0:00,1.39
7/23/1960,1:00,1.69
7/23/1960,2:00,1.29
7/23/1960,3:00,0.49
7/23/1960,4:00,-0.61
7/23/1960,5:00,-1.71
7/23/1960,6:00,-2.61
7/23/1960,7:00,-3.01
7/23/1960,8:00,-2.81
7/23/1960,9:00,-2.21
7/23/1960,10:00,-1.41
7/23/1960,11:00,-0.51
7/23/1960,12:00,0.19
7/23/1960,13:00,0.49
7/23/1960,14:00,0.49
7/23/1960,15:00,-0.01
7/23/1960,16:00,-1.01
7/23/1960,17:00,-1.91
7/23/1960,18:00,-2.51
7/23/1960,19:00,-2.81
7/23/1960,20:00,-2.51
7/23/1960,21:00,-1.71
7/23/1960,22:00,-0.71
7/23/1960,23:00,0.39
7/24/1960,0:00,1.39
7/24/1960,1:00,1.89
7/24/1960,2:00,1.89
7/24/1960,3:00,1.39
7/24/1960,4:00,0.39
7/24/1960,5:00,-0.81
7/24/1960,6:00,-1.91
7/24/1960,7:00,-2.51
7/24/1960,8:00,-2.71
7/24/1960,9:00,-2.21
7/24/1960,10:00,-1.71
7/24/1960,11:00,-0.71
7/24/1960,12:00,0.19
7/24/1960,13:00,0.79
7/24/1960,14:00,0.89
7/24/1960,15:00,0.59
7/24/1960,16:00,-0.01
7/24/1960,17:00,-1.01
7/24/1960,18:00,-2.01
7/24/1960,19:00,-2.51
7/24/1960,20:00,-2.61
7/24/1960,21:00,-2.01
7/24/1960,22:00,-1.21
7/24/1960,23:00,-0.21
7/25/1960,0:00,0.89
7/25/1960,1:00,1.69
7/25/1960,2:00,1.99
7/25/1960,3:00,1.89
7/25/1960,4:00,1.09
7/25/1960,5:00,-0.01
7/25/1960,6:00,-1.21
7/25/1960,7:00,-2.11
7/25/1960,8:00,-2.51
7/25/1960,9:00,-2.41
7/25/1960,10:00,-1.91
7/25/1960,11:00,-1.01
7/25/1960,12:00,-0.11
7/25/1960,13:00,0.69
7/25/1960,14:00,1.09
7/25/1960,15:00,1.09
7/25/1960,16:00,0.59
7/25/1960,17:00,-0.31
7/25/1960,18:00,-1.41
7/25/1960,19:00,-2.11
7/25/1960,20:00,-2.51
7/25/1960,21:00,-2.31
7/25/1960,22:00,-1.71
7/25/1960,23:00,-0.71
7/26/1960,0:00,0.29
7/26/1960,1:00,1.19
7/26/1960,2:00,1.89
7/26/1960,3:00,1.99
7/26/1960,4:00,1.49
7/26/1960,5:00,0.69
7/26/1960,6:00,-0.51
7/26/1960,7:00,-1.51
7/26/1960,8:00,-2.41
7/26/1960,9:00,-2.61
7/26/1960,10:00,-2.41
7/26/1960,11:00,-1.81
7/26/1960,12:00,-0.71
7/26/1960,13:00,-0.01
7/26/1960,14:00,0.79
7/26/1960,15:00,1.09
7/26/1960,16:00,0.99
7/26/1960,17:00,0.29
7/26/1960,18:00,-0.71
7/26/1960,19:00,-1.81
7/26/1960,20:00,-2.61
7/26/1960,21:00,-2.71
7/26/1960,22:00,-2.31
7/26/1960,23:00,-1.61
7/27/1960,0:00,-0.61
7/27/1960,1:00,0.49
7/27/1960,2:00,1.39
7/27/1960,3:00,1.79
7/27/1960,4:00,1.79
7/27/1960,5:00,1.09
7/27/1960,6:00,0.09
7/27/1960,7:00,-1.11
7/27/1960,8:00,-2.11
7/27/1960,9:00,-2.71
7/27/1960,10:00,-2.61
7/27/1960,11:00,-2.31
7/27/1960,12:00,-1.61
7/27/1960,13:00,-0.61
7/27/1960,14:00,0.29
7/27/1960,15:00,0.89
7/27/1960,16:00,1.09
7/27/1960,17:00,0.79
7/27/1960,18:00,-0.01
7/27/1960,19:00,-1.01
7/27/1960,20:00,-2.01
7/27/1960,21:00,-2.71
7/27/1960,22:00,-2.61
7/27/1960,23:00,-2.31
7/28/1960,0:00,-1.31
7/28/1960,1:00,-0.61
7/28/1960,2:00,0.59
7/28/1960,3:00,1.19
7/28/1960,4:00,1.29
7/28/1960,5:00,1.19
7/28/1960,6:00,0.49
7/28/1960,7:00,-0.41
7/28/1960,8:00,-1.41
7/28/1960,9:00,-2.31
7/28/1960,10:00,-2.71
7/28/1960,11:00,-2.61
7/28/1960,12:00,-2.01
7/28/1960,13:00,-1.11
7/28/1960,14:00,-0.11
7/28/1960,15:00,0.69
7/28/1960,16:00,1.19
7/28/1960,17:00,1.29
7/28/1960,18:00,0.89
7/28/1960,19:00,0.09
7/28/1960,20:00,-1.01
7/28/1960,21:00,-1.91
7/28/1960,22:00,-2.31
7/28/1960,23:00,-2.21
7/29/1960,0:00,-1.71
7/29/1960,1:00,-1.01
7/29/1960,2:00,-0.01
7/29/1960,3:00,0.89
7/29/1960,4:00,1.49
7/29/1960,5:00,1.69
7/29/1960,6:00,1.29
7/29/1960,7:00,0.59
7/29/1960,8:00,-0.51
7/29/1960,9:00,-1.61
7/29/1960,10:00,-2.21
7/29/1960,11:00,-2.41
7/29/1960,12:00,-2.21
7/29/1960,13:00,-1.51
7/29/1960,14:00,-0.61
7/29/1960,15:00,0.39
7/29/1960,16:00,1.19
7/29/1960,17:00,1.39
7/29/1960,18:00,1.39
7/29/1960,19:00,0.89
7/29/1960,20:00,-0.01
7/29/1960,21:00,-0.91
7/29/1960,22:00,-1.81
7/29/1960,23:00,-2.11
7/30/1960,0:00,-1.91
7/30/1960,1:00,-1.51
7/30/1960,2:00,-0.61
7/30/1960,3:00,0.39
7/30/1960,4:00,1.29
7/30/1960,5:00,1.89
7/30/1960,6:00,1.89
7/30/1960,7:00,1.69
7/30/1960,8:00,1.39
7/30/1960,9:00,0.99
7/30/1960,10:00,-0.31
7/30/1960,11:00,-1.11
7/30/1960,12:00,-1.11
7/30/1960,13:00,-1.41
7/30/1960,14:00,-1.11
7/30/1960,15:00,0.19
7/30/1960,16:00,0.49
7/30/1960,17:00,0.89
7/30/1960,18:00,0.89
7/30/1960,19:00,0.89
7/30/1960,20:00,0.49
7/30/1960,21:00,-0.31
7/30/1960,22:00,-0.81
7/30/1960,23:00,-1.61
7/31/1960,0:00,-2.21
7/31/1960,1:00,-2.21
7/31/1960,2:00,-2.21
7/31/1960,3:00,-2.21
7/31/1960,4:00,0.29
7/31/1960,5:00,0.79
7/31/1960,6:00,1.19
7/31/1960,7:00,1.39
7/31/1960,8:00,1.19
7/31/1960,9:00,0.69
7/31/1960,10:00,-0.61
7/31/1960,11:00,-2.41
7/31/1960,12:00,-3.01
