Date,Time (GMT),Verified (ft)
6/26/2005,0:00,-1.69
6/26/2005,0:06,-1.59
6/26/2005,0:12,-1.47
6/26/2005,0:18,-1.36
6/26/2005,0:24,-1.26
6/26/2005,0:30,-1.14
6/26/2005,0:36,-1.03
6/26/2005,0:42,-0.92
6/26/2005,0:48,-0.81
6/26/2005,0:54,-0.67
6/26/2005,1:00,-0.58
6/26/2005,1:06,-0.48
6/26/2005,1:12,-0.34
6/26/2005,1:18,-0.17
6/26/2005,1:24,-0.04
6/26/2005,1:30,0.09
6/26/2005,1:36,0.15
6/26/2005,1:42,0.35
6/26/2005,1:48,0.49
6/26/2005,1:54,0.62
6/26/2005,2:00,0.73
6/26/2005,2:06,0.84
6/26/2005,2:12,0.97
6/26/2005,2:18,1.1
6/26/2005,2:24,1.2
6/26/2005,2:30,1.34
6/26/2005,2:36,1.44
6/26/2005,2:42,1.55
6/26/2005,2:48,1.65
6/26/2005,2:54,1.77
6/26/2005,3:00,1.85
6/26/2005,3:06,1.95
6/26/2005,3:12,2.01
6/26/2005,3:18,2.1
6/26/2005,3:24,2.17
6/26/2005,3:30,2.23
6/26/2005,3:36,2.28
6/26/2005,3:42,2.33
6/26/2005,3:48,2.37
6/26/2005,3:54,2.43
6/26/2005,4:00,2.46
6/26/2005,4:06,2.48
6/26/2005,4:12,2.49
6/26/2005,4:18,2.48
6/26/2005,4:24,2.49
6/26/2005,4:30,2.47
6/26/2005,4:36,2.46
6/26/2005,4:42,2.45
6/26/2005,4:48,2.45
6/26/2005,4:54,2.42
6/26/2005,5:00,2.36
6/26/2005,5:06,2.32
6/26/2005,5:12,2.27
6/26/2005,5:18,2.25
6/26/2005,5:24,2.18
6/26/2005,5:30,2.12
6/26/2005,5:36,2.05
6/26/2005,5:42,2
6/26/2005,5:48,1.93
6/26/2005,5:54,1.86
6/26/2005,6:00,1.8
6/26/2005,6:06,1.7
6/26/2005,6:12,1.63
6/26/2005,6:18,1.58
6/26/2005,6:24,1.51
6/26/2005,6:30,1.38
6/26/2005,6:36,1.27
6/26/2005,6:42,1.12
6/26/2005,6:48,0.99
6/26/2005,6:54,0.9
6/26/2005,7:00,0.8
6/26/2005,7:06,0.7
6/26/2005,7:12,0.57
6/26/2005,7:18,0.43
6/26/2005,7:24,0.32
6/26/2005,7:30,0.19
6/26/2005,7:36,0.06
6/26/2005,7:42,-0.07
6/26/2005,7:48,-0.23
6/26/2005,7:54,-0.35
6/26/2005,8:00,-0.48
6/26/2005,8:06,-0.61
6/26/2005,8:12,-0.76
6/26/2005,8:18,-0.88
6/26/2005,8:24,-1.04
6/26/2005,8:30,-1.16
6/26/2005,8:36,-1.27
6/26/2005,8:42,-1.42
6/26/2005,8:48,-1.56
6/26/2005,8:54,-1.67
6/26/2005,9:00,-1.8
6/26/2005,9:06,-1.92
6/26/2005,9:12,-2.03
6/26/2005,9:18,-2.13
6/26/2005,9:24,-2.25
6/26/2005,9:30,-2.33
6/26/2005,9:36,-2.46
6/26/2005,9:42,-2.54
6/26/2005,9:48,-2.6
6/26/2005,9:54,-2.69
6/26/2005,10:00,-2.75
6/26/2005,10:06,-2.81
6/26/2005,10:12,-2.86
6/26/2005,10:18,-2.9
6/26/2005,10:24,-2.92
6/26/2005,10:30,-2.95
6/26/2005,10:36,-2.99
6/26/2005,10:42,-2.98
6/26/2005,10:48,-2.98
6/26/2005,10:54,-2.98
6/26/2005,11:00,-2.95
6/26/2005,11:06,-2.99
6/26/2005,11:12,-2.94
6/26/2005,11:18,-2.91
6/26/2005,11:24,-2.87
6/26/2005,11:30,-2.83
6/26/2005,11:36,-2.78
6/26/2005,11:42,-2.73
6/26/2005,11:48,-2.66
6/26/2005,11:54,-2.62
6/26/2005,12:00,-2.57
6/26/2005,12:06,-2.46
6/26/2005,12:12,-2.41
6/26/2005,12:18,-2.32
6/26/2005,12:24,-2.25
