Date,Time (GMT),Verified (ft)
9/15/1992,0:00,-0.5
9/15/1992,1:00,0.44
9/15/1992,2:00,1.04
9/15/1992,3:00,1.21
9/15/1992,4:00,0.98
9/15/1992,5:00,0.26
9/15/1992,6:00,-0.7
9/15/1992,7:00,-1.67
9/15/1992,8:00,-2.29
9/15/1992,9:00,-2.4
9/15/1992,10:00,-2
9/15/1992,11:00,-1.27
9/15/1992,12:00,-0.24
9/15/1992,13:00,0.75
9/15/1992,14:00,1.43
9/15/1992,15:00,1.72
9/15/1992,16:00,1.55
9/15/1992,17:00,0.97
9/15/1992,18:00,0.13
9/15/1992,19:00,-1
9/15/1992,20:00,-1.8
9/15/1992,21:00,-2.29
9/15/1992,22:00,-2.29
9/15/1992,23:00,-1.84
9/16/1992,0:00,-1.09
9/16/1992,1:00,-0.18
9/16/1992,2:00,0.59
9/16/1992,3:00,1
9/16/1992,4:00,1.04
9/16/1992,5:00,0.56
9/16/1992,6:00,-0.29
9/16/1992,7:00,-1.29
9/16/1992,8:00,-2.09
9/16/1992,9:00,-2.56
9/16/1992,10:00,-2.45
9/16/1992,11:00,-1.93
9/16/1992,12:00,-1.12
9/16/1992,13:00,-0.09
9/16/1992,14:00,0.81
9/16/1992,15:00,1.43
9/16/1992,16:00,1.6
9/16/1992,17:00,1.26
9/16/1992,18:00,0.62
9/16/1992,19:00,-0.38
9/16/1992,20:00,-1.34
9/16/1992,21:00,-2.16
9/16/1992,22:00,-2.4
9/16/1992,23:00,-2.2
9/17/1992,0:00,-1.72
9/17/1992,1:00,-0.99
9/17/1992,2:00,-0.08
9/17/1992,3:00,0.6
9/17/1992,4:00,0.83
9/17/1992,5:00,0.71
9/17/1992,6:00,0.1
9/17/1992,7:00,-0.78
9/17/1992,8:00,-1.68
9/17/1992,9:00,-2.38
9/17/1992,10:00,-2.68
9/17/1992,11:00,-2.46
9/17/1992,12:00,-1.86
9/17/1992,13:00,-0.93
9/17/1992,14:00,0.08
9/17/1992,15:00,0.89
9/17/1992,16:00,1.46
9/17/1992,17:00,1.45
