Date,Time (GMT),Verified (ft)
8/13/1971,0:00,-2.61
8/13/1971,1:00,-2.41
8/13/1971,2:00,-1.91
8/13/1971,3:00,-1.01
8/13/1971,4:00,-0.11
8/13/1971,5:00,0.59
8/13/1971,6:00,1.09
8/13/1971,7:00,0.99
8/13/1971,8:00,0.49
8/13/1971,9:00,-0.41
8/13/1971,10:00,-1.51
8/13/1971,11:00,-2.31
8/13/1971,12:00,-2.71
8/13/1971,13:00,-2.51
8/13/1971,14:00,-1.81
8/13/1971,15:00,-0.91
8/13/1971,16:00,0.29
8/13/1971,17:00,1.19
8/13/1971,18:00,1.99
8/13/1971,19:00,2.09
8/13/1971,20:00,1.79
8/13/1971,21:00,1.09
8/13/1971,22:00,0.09
8/13/1971,23:00,-1.01
8/14/1971,0:00,-1.81
8/14/1971,1:00,-2.21
8/14/1971,2:00,-2.11
8/14/1971,3:00,-1.61
8/14/1971,4:00,-0.91
8/14/1971,5:00,-0.11
8/14/1971,6:00,0.69
8/14/1971,7:00,0.99
8/14/1971,8:00,0.99
8/14/1971,9:00,0.49
8/14/1971,10:00,-0.21
8/14/1971,11:00,-1.11
8/14/1971,12:00,-1.91
8/14/1971,13:00,-2.31
8/14/1971,14:00,-2.11
8/14/1971,15:00,-1.51
8/14/1971,16:00,-0.71
8/14/1971,17:00,0.49
8/14/1971,18:00,1.39
8/14/1971,19:00,1.99
8/14/1971,20:00,2.29
8/14/1971,21:00,2.09
8/14/1971,22:00,1.49
8/14/1971,23:00,0.49
8/15/1971,0:00,-0.41
8/15/1971,1:00,-1.21
8/15/1971,2:00,-1.81
8/15/1971,3:00,-1.71
8/15/1971,4:00,-1.41
8/15/1971,5:00,-0.81
8/15/1971,6:00,-0.11
8/15/1971,7:00,0.49
8/15/1971,8:00,0.89
8/15/1971,9:00,0.89
8/15/1971,10:00,0.49
8/15/1971,11:00,-0.21
8/15/1971,12:00,-1.11
8/15/1971,13:00,-1.91
8/15/1971,14:00,-2.21
8/15/1971,15:00,-2.11
