Date,Time (GMT),Verified (ft)
6/23/2021,0:00,3.38
6/23/2021,0:06,3.44
6/23/2021,0:12,3.44
6/23/2021,0:18,3.35
6/23/2021,0:24,3.26
6/23/2021,0:30,3.15
6/23/2021,0:36,3.06
6/23/2021,0:42,3.05
6/23/2021,0:48,2.93
6/23/2021,0:54,2.79
6/23/2021,1:00,2.68
6/23/2021,1:06,2.63
6/23/2021,1:12,2.61
6/23/2021,1:18,2.52
6/23/2021,1:24,2.3
6/23/2021,1:30,2.25
6/23/2021,1:36,2.11
6/23/2021,1:42,2.05
6/23/2021,1:48,1.82
6/23/2021,1:54,1.7
6/23/2021,2:00,1.62
6/23/2021,2:06,1.45
6/23/2021,2:12,1.39
6/23/2021,2:18,1.23
6/23/2021,2:24,1.09
6/23/2021,2:30,0.9
6/23/2021,2:36,0.76
6/23/2021,2:42,0.62
6/23/2021,2:48,0.46
6/23/2021,2:54,0.26
6/23/2021,3:00,0.12
6/23/2021,3:06,-0.02
6/23/2021,3:12,-0.21
6/23/2021,3:18,-0.36
6/23/2021,3:24,-0.47
6/23/2021,3:30,-0.57
6/23/2021,3:36,-0.68
6/23/2021,3:42,-0.79
6/23/2021,3:48,-0.91
6/23/2021,3:54,-1.04
6/23/2021,4:00,-1.17
6/23/2021,4:06,-1.3
6/23/2021,4:12,-1.35
6/23/2021,4:18,-1.49
6/23/2021,4:24,-1.57
6/23/2021,4:30,-1.65
6/23/2021,4:36,-1.72
6/23/2021,4:42,-1.82
6/23/2021,4:48,-1.91
6/23/2021,4:54,-1.94
6/23/2021,5:00,-2.01
6/23/2021,5:06,-2
6/23/2021,5:12,-2.04
6/23/2021,5:18,-2.09
6/23/2021,5:24,-2.16
6/23/2021,5:30,-2.16
6/23/2021,5:36,-2.21
6/23/2021,5:42,-2.28
6/23/2021,5:48,-2.3
6/23/2021,5:54,-2.36
6/23/2021,6:00,-2.35
6/23/2021,6:06,-2.32
6/23/2021,6:12,-2.31
6/23/2021,6:18,-2.32
6/23/2021,6:24,-2.29
6/23/2021,6:30,-2.27
6/23/2021,6:36,-2.27
6/23/2021,6:42,-2.22
6/23/2021,6:48,-2.21
6/23/2021,6:54,-2.2
6/23/2021,7:00,-2.08
6/23/2021,7:06,-1.98
6/23/2021,7:12,-1.97
6/23/2021,7:18,-1.88
6/23/2021,7:24,-1.81
6/23/2021,7:30,-1.75
6/23/2021,7:36,-1.63
6/23/2021,7:42,-1.56
6/23/2021,7:48,-1.48
6/23/2021,7:54,-1.35
6/23/2021,8:00,-1.23
6/23/2021,8:06,-1.14
6/23/2021,8:12,-0.98
6/23/2021,8:18,-0.88
6/23/2021,8:24,-0.76
6/23/2021,8:30,-0.55
6/23/2021,8:36,-0.46
6/23/2021,8:42,-0.29
6/23/2021,8:48,-0.16
6/23/2021,8:54,0.01
6/23/2021,9:00,0.06
6/23/2021,9:06,0.16
6/23/2021,9:12,0.28
6/23/2021,9:18,0.32
6/23/2021,9:24,0.42
6/23/2021,9:30,0.52
6/23/2021,9:36,0.63
6/23/2021,9:42,0.66
6/23/2021,9:48,0.77
6/23/2021,9:54,0.89
6/23/2021,10:00,0.98
6/23/2021,10:06,1.07
6/23/2021,10:12,1.14
6/23/2021,10:18,1.22
6/23/2021,10:24,1.34
6/23/2021,10:30,1.39
6/23/2021,10:36,1.43
6/23/2021,10:42,1.47
6/23/2021,10:48,1.54
6/23/2021,10:54,1.54
6/23/2021,11:00,1.61
6/23/2021,11:06,1.64
6/23/2021,11:12,1.76
6/23/2021,11:18,1.76
6/23/2021,11:24,1.77
6/23/2021,11:30,1.78
6/23/2021,11:36,1.84
6/23/2021,11:42,1.84
6/23/2021,11:48,1.85
6/23/2021,11:54,1.81
6/23/2021,12:00,1.78
6/23/2021,12:06,1.75
6/23/2021,12:12,1.71
6/23/2021,12:18,1.68
6/23/2021,12:24,1.68
6/23/2021,12:30,1.7
6/23/2021,12:36,1.62
6/23/2021,12:42,1.6
6/23/2021,12:48,1.56
6/23/2021,12:54,1.54
6/23/2021,13:00,1.51
6/23/2021,13:06,1.41
6/23/2021,13:12,1.38
6/23/2021,13:18,1.38
6/23/2021,13:24,1.28
6/23/2021,13:30,1.22
6/23/2021,13:36,1.15
6/23/2021,13:42,1.11
6/23/2021,13:48,1.03
6/23/2021,13:54,0.94
6/23/2021,14:00,0.81
6/23/2021,14:06,0.73
6/23/2021,14:12,0.58
6/23/2021,14:18,0.46
6/23/2021,14:24,0.33
6/23/2021,14:30,0.25
6/23/2021,14:36,0.07
6/23/2021,14:42,-0.04
6/23/2021,14:48,-0.13
6/23/2021,14:54,-0.26
6/23/2021,15:00,-0.38
6/23/2021,15:06,-0.51
6/23/2021,15:12,-0.63
6/23/2021,15:18,-0.74
6/23/2021,15:24,-0.87
6/23/2021,15:30,-0.99
6/23/2021,15:36,-1.18
6/23/2021,15:42,-1.29
6/23/2021,15:48,-1.38
6/23/2021,15:54,-1.49
6/23/2021,16:00,-1.64
6/23/2021,16:06,-1.67
6/23/2021,16:12,-1.8
6/23/2021,16:18,-1.89
6/23/2021,16:24,-1.99
6/23/2021,16:30,-2.1
6/23/2021,16:36,-2.19
6/23/2021,16:42,-2.29
6/23/2021,16:48,-2.31
6/23/2021,16:54,-2.37
6/23/2021,17:00,-2.45
6/23/2021,17:06,-2.51
6/23/2021,17:12,-2.57
6/23/2021,17:18,-2.65
6/23/2021,17:24,-2.69
6/23/2021,17:30,-2.74
6/23/2021,17:36,-2.77
6/23/2021,17:42,-2.76
6/23/2021,17:48,-2.76
6/23/2021,17:54,-2.75
6/23/2021,18:00,-2.75
6/23/2021,18:06,-2.7
6/23/2021,18:12,-2.67
6/23/2021,18:18,-2.6
6/23/2021,18:24,-2.53
6/23/2021,18:30,-2.51
6/23/2021,18:36,-2.43
6/23/2021,18:42,-2.38
6/23/2021,18:48,-2.29
6/23/2021,18:54,-2.22
6/23/2021,19:00,-2.13
6/23/2021,19:06,-2.04
6/23/2021,19:12,-2
6/23/2021,19:18,-1.91
6/23/2021,19:24,-1.8
6/23/2021,19:30,-1.73
6/23/2021,19:36,-1.64
6/23/2021,19:42,-1.53
6/23/2021,19:48,-1.44
6/23/2021,19:54,-1.32
6/23/2021,20:00,-1.22
6/23/2021,20:06,-1.11
6/23/2021,20:12,-1.01
6/23/2021,20:18,-0.86
6/23/2021,20:24,-0.73
6/23/2021,20:30,-0.59
6/23/2021,20:36,-0.47
6/23/2021,20:42,-0.37
6/23/2021,20:48,-0.22
6/23/2021,20:54,-0.09
6/23/2021,21:00,0.07
6/23/2021,21:06,0.21
6/23/2021,21:12,0.36
6/23/2021,21:18,0.48
6/23/2021,21:24,0.65
6/23/2021,21:30,0.84
6/23/2021,21:36,0.94
6/23/2021,21:42,1.1
6/23/2021,21:48,1.25
6/23/2021,21:54,1.39
6/23/2021,22:00,1.48
6/23/2021,22:06,1.64
6/23/2021,22:12,1.73
6/23/2021,22:18,1.83
6/23/2021,22:24,1.87
6/23/2021,22:30,2.02
6/23/2021,22:36,2.14
6/23/2021,22:42,2.26
6/23/2021,22:48,2.34
6/23/2021,22:54,2.46
6/23/2021,23:00,2.57
6/23/2021,23:06,2.66
6/23/2021,23:12,2.71
6/23/2021,23:18,2.8
6/23/2021,23:24,2.87
6/23/2021,23:30,2.94
6/23/2021,23:36,3.03
6/23/2021,23:42,3.03
6/23/2021,23:48,3.06
6/23/2021,23:54,3.2
6/24/2021,0:00,3.22
6/24/2021,0:06,3.27
6/24/2021,0:12,3.29
6/24/2021,0:18,3.32
6/24/2021,0:24,3.32
6/24/2021,0:30,3.32
6/24/2021,0:36,3.31
6/24/2021,0:42,3.27
6/24/2021,0:48,3.26
6/24/2021,0:54,3.21
6/24/2021,1:00,3.15
6/24/2021,1:06,3.12
6/24/2021,1:12,3.05
6/24/2021,1:18,2.98
6/24/2021,1:24,2.91
6/24/2021,1:30,2.83
6/24/2021,1:36,2.76
6/24/2021,1:42,2.69
6/24/2021,1:48,2.59
6/24/2021,1:54,2.5
6/24/2021,2:00,2.42
6/24/2021,2:06,2.34
6/24/2021,2:12,2.25
6/24/2021,2:18,2.16
6/24/2021,2:24,2.01
6/24/2021,2:30,1.9
6/24/2021,2:36,1.8
6/24/2021,2:42,1.67
6/24/2021,2:48,1.54
6/24/2021,2:54,1.45
6/24/2021,3:00,1.29
6/24/2021,3:06,1.15
6/24/2021,3:12,1.01
6/24/2021,3:18,0.86
6/24/2021,3:24,0.67
6/24/2021,3:30,0.53
6/24/2021,3:36,0.38
6/24/2021,3:42,0.25
6/24/2021,3:48,0.07
6/24/2021,3:54,-0.09
6/24/2021,4:00,-0.24
6/24/2021,4:06,-0.36
6/24/2021,4:12,-0.51
6/24/2021,4:18,-0.68
6/24/2021,4:24,-0.82
6/24/2021,4:30,-0.96
6/24/2021,4:36,-1.09
6/24/2021,4:42,-1.25
6/24/2021,4:48,-1.38
6/24/2021,4:54,-1.52
6/24/2021,5:00,-1.65
6/24/2021,5:06,-1.79
6/24/2021,5:12,-1.94
6/24/2021,5:18,-2.05
6/24/2021,5:24,-2.18
6/24/2021,5:30,-2.26
6/24/2021,5:36,-2.37
6/24/2021,5:42,-2.45
6/24/2021,5:48,-2.51
6/24/2021,5:54,-2.56
6/24/2021,6:00,-2.62
6/24/2021,6:06,-2.64
6/24/2021,6:12,-2.71
6/24/2021,6:18,-2.74
6/24/2021,6:24,-2.76
6/24/2021,6:30,-2.81
6/24/2021,6:36,-2.8
6/24/2021,6:42,-2.82
6/24/2021,6:48,-2.82
6/24/2021,6:54,-2.8
6/24/2021,7:00,-2.83
6/24/2021,7:06,-2.78
6/24/2021,7:12,-2.78
6/24/2021,7:18,-2.76
6/24/2021,7:24,-2.75
6/24/2021,7:30,-2.69
6/24/2021,7:36,-2.63
6/24/2021,7:42,-2.58
6/24/2021,7:48,-2.54
6/24/2021,7:54,-2.48
6/24/2021,8:00,-2.43
6/24/2021,8:06,-2.32
6/24/2021,8:12,-2.24
6/24/2021,8:18,-2.15
6/24/2021,8:24,-2.06
6/24/2021,8:30,-1.99
6/24/2021,8:36,-1.91
6/24/2021,8:42,-1.82
6/24/2021,8:48,-1.72
6/24/2021,8:54,-1.63
6/24/2021,9:00,-1.53
6/24/2021,9:06,-1.41
6/24/2021,9:12,-1.31
6/24/2021,9:18,-1.19
6/24/2021,9:24,-1.06
6/24/2021,9:30,-0.95
6/24/2021,9:36,-0.82
6/24/2021,9:42,-0.68
6/24/2021,9:48,-0.58
6/24/2021,9:54,-0.46
6/24/2021,10:00,-0.36
6/24/2021,10:06,-0.23
6/24/2021,10:12,-0.13
6/24/2021,10:18,-0.01
6/24/2021,10:24,0.09
6/24/2021,10:30,0.22
6/24/2021,10:36,0.31
6/24/2021,10:42,0.42
6/24/2021,10:48,0.53
6/24/2021,10:54,0.65
6/24/2021,11:00,0.74
6/24/2021,11:06,0.87
6/24/2021,11:12,0.93
6/24/2021,11:18,1.01
6/24/2021,11:24,1.08
6/24/2021,11:30,1.15
6/24/2021,11:36,1.19
6/24/2021,11:42,1.25
6/24/2021,11:48,1.3
6/24/2021,11:54,1.35
6/24/2021,12:00,1.37
6/24/2021,12:06,1.39
6/24/2021,12:12,1.43
6/24/2021,12:18,1.48
6/24/2021,12:24,1.52
6/24/2021,12:30,1.51
6/24/2021,12:36,1.52
6/24/2021,12:42,1.56
6/24/2021,12:48,1.57
6/24/2021,12:54,1.62
6/24/2021,13:00,1.66
6/24/2021,13:06,1.66
6/24/2021,13:12,1.66
6/24/2021,13:18,1.67
6/24/2021,13:24,1.66
6/24/2021,13:30,1.64
6/24/2021,13:36,1.63
6/24/2021,13:42,1.6
6/24/2021,13:48,1.55
6/24/2021,13:54,1.5
6/24/2021,14:00,1.43
6/24/2021,14:06,1.39
6/24/2021,14:12,1.3
6/24/2021,14:18,1.23
6/24/2021,14:24,1.17
6/24/2021,14:30,1.05
6/24/2021,14:36,0.97
6/24/2021,14:42,0.87
6/24/2021,14:48,0.82
6/24/2021,14:54,0.7
6/24/2021,15:00,0.53
6/24/2021,15:06,0.42
6/24/2021,15:12,0.34
6/24/2021,15:18,0.2
6/24/2021,15:24,0.13
6/24/2021,15:30,0.08
6/24/2021,15:36,-0.03
6/24/2021,15:42,-0.15
6/24/2021,15:48,-0.25
6/24/2021,15:54,-0.38
6/24/2021,16:00,-0.53
6/24/2021,16:06,-0.63
6/24/2021,16:12,-0.75
6/24/2021,16:18,-0.89
6/24/2021,16:24,-0.95
6/24/2021,16:30,-1.08
6/24/2021,16:36,-1.18
6/24/2021,16:42,-1.31
6/24/2021,16:48,-1.42
6/24/2021,16:54,-1.54
6/24/2021,17:00,-1.66
6/24/2021,17:06,-1.77
6/24/2021,17:12,-1.88
6/24/2021,17:18,-1.96
6/24/2021,17:24,-2.06
6/24/2021,17:30,-2.13
6/24/2021,17:36,-2.2
6/24/2021,17:42,-2.28
6/24/2021,17:48,-2.38
6/24/2021,17:54,-2.47
6/24/2021,18:00,-2.53
6/24/2021,18:06,-2.58
6/24/2021,18:12,-2.64
6/24/2021,18:18,-2.65
6/24/2021,18:24,-2.69
6/24/2021,18:30,-2.64
6/24/2021,18:36,-2.68
6/24/2021,18:42,-2.71
6/24/2021,18:48,-2.7
6/24/2021,18:54,-2.67
6/24/2021,19:00,-2.63
6/24/2021,19:06,-2.57
6/24/2021,19:12,-2.53
6/24/2021,19:18,-2.46
6/24/2021,19:24,-2.37
6/24/2021,19:30,-2.32
6/24/2021,19:36,-2.25
6/24/2021,19:42,-2.2
6/24/2021,19:48,-2.11
6/24/2021,19:54,-2.04
6/24/2021,20:00,-2.01
6/24/2021,20:06,-1.95
6/24/2021,20:12,-1.85
6/24/2021,20:18,-1.75
6/24/2021,20:24,-1.61
6/24/2021,20:30,-1.54
6/24/2021,20:36,-1.43
6/24/2021,20:42,-1.32
6/24/2021,20:48,-1.15
6/24/2021,20:54,-1.05
6/24/2021,21:00,-0.93
6/24/2021,21:06,-0.79
6/24/2021,21:12,-0.68
6/24/2021,21:18,-0.6
6/24/2021,21:24,-0.42
6/24/2021,21:30,-0.31
6/24/2021,21:36,-0.18
6/24/2021,21:42,-0.05
6/24/2021,21:48,0.11
6/24/2021,21:54,0.25
6/24/2021,22:00,0.39
6/24/2021,22:06,0.54
6/24/2021,22:12,0.65
6/24/2021,22:18,0.82
6/24/2021,22:24,0.95
6/24/2021,22:30,1.1
6/24/2021,22:36,1.2
6/24/2021,22:42,1.34
6/24/2021,22:48,1.5
6/24/2021,22:54,1.65
6/24/2021,23:00,1.85
6/24/2021,23:06,2.01
6/24/2021,23:12,2.16
6/24/2021,23:18,2.27
6/24/2021,23:24,2.39
6/24/2021,23:30,2.46
6/24/2021,23:36,2.62
6/24/2021,23:42,2.7
6/24/2021,23:48,2.76
6/24/2021,23:54,2.9
6/25/2021,0:00,2.99
6/25/2021,0:06,3.06
6/25/2021,0:12,3.13
6/25/2021,0:18,3.21
6/25/2021,0:24,3.29
6/25/2021,0:30,3.32
6/25/2021,0:36,3.37
6/25/2021,0:42,3.41
6/25/2021,0:48,3.44
6/25/2021,0:54,3.47
6/25/2021,1:00,3.49
6/25/2021,1:06,3.52
6/25/2021,1:12,3.53
6/25/2021,1:18,3.53
6/25/2021,1:24,3.5
6/25/2021,1:30,3.5
6/25/2021,1:36,3.48
6/25/2021,1:42,3.47
6/25/2021,1:48,3.42
6/25/2021,1:54,3.36
6/25/2021,2:00,3.3
6/25/2021,2:06,3.21
6/25/2021,2:12,3.16
6/25/2021,2:18,3.09
6/25/2021,2:24,3.02
6/25/2021,2:30,2.94
6/25/2021,2:36,2.86
6/25/2021,2:42,2.82
6/25/2021,2:48,2.72
6/25/2021,2:54,2.66
6/25/2021,3:00,2.58
6/25/2021,3:06,2.47
6/25/2021,3:12,2.35
6/25/2021,3:18,2.26
6/25/2021,3:24,2.17
6/25/2021,3:30,2.05
6/25/2021,3:36,1.94
6/25/2021,3:42,1.81
6/25/2021,3:48,1.71
6/25/2021,3:54,1.57
6/25/2021,4:00,1.41
6/25/2021,4:06,1.29
6/25/2021,4:12,1.14
6/25/2021,4:18,0.98
6/25/2021,4:24,0.78
6/25/2021,4:30,0.61
6/25/2021,4:36,0.48
6/25/2021,4:42,0.32
6/25/2021,4:48,0.17
