Date,Time (GMT),Verified (ft)
6/28/2020,0:00,-1.51
6/28/2020,0:06,-1.54
6/28/2020,0:12,-1.58
6/28/2020,0:18,-1.6
6/28/2020,0:24,-1.64
6/28/2020,0:30,-1.64
6/28/2020,0:36,-1.69
6/28/2020,0:42,-1.69
6/28/2020,0:48,-1.65
6/28/2020,0:54,-1.57
6/28/2020,1:00,-1.54
6/28/2020,1:06,-1.48
6/28/2020,1:12,-1.43
6/28/2020,1:18,-1.34
6/28/2020,1:24,-1.3
6/28/2020,1:30,-1.29
6/28/2020,1:36,-1.26
6/28/2020,1:42,-1.16
6/28/2020,1:48,-1.15
6/28/2020,1:54,-1.13
6/28/2020,2:00,-1.13
6/28/2020,2:06,-1.03
6/28/2020,2:12,-0.96
6/28/2020,2:18,-0.84
6/28/2020,2:24,-0.79
6/28/2020,2:30,-0.67
6/28/2020,2:36,-0.52
6/28/2020,2:42,-0.42
6/28/2020,2:48,-0.42
6/28/2020,2:54,-0.28
6/28/2020,3:00,-0.19
6/28/2020,3:06,-0.11
6/28/2020,3:12,0
6/28/2020,3:18,0.09
6/28/2020,3:24,0.13
6/28/2020,3:30,0.23
6/28/2020,3:36,0.31
6/28/2020,3:42,0.44
6/28/2020,3:48,0.6
6/28/2020,3:54,0.7
6/28/2020,4:00,0.82
6/28/2020,4:06,0.93
6/28/2020,4:12,1.05
6/28/2020,4:18,1.15
6/28/2020,4:24,1.26
6/28/2020,4:30,1.39
6/28/2020,4:36,1.44
6/28/2020,4:42,1.49
6/28/2020,4:48,1.61
6/28/2020,4:54,1.71
6/28/2020,5:00,1.75
6/28/2020,5:06,1.77
6/28/2020,5:12,1.87
6/28/2020,5:18,1.97
6/28/2020,5:24,2.06
6/28/2020,5:30,2.13
6/28/2020,5:36,2.18
6/28/2020,5:42,2.2
6/28/2020,5:48,2.23
6/28/2020,5:54,2.29
6/28/2020,6:00,2.36
6/28/2020,6:06,2.38
6/28/2020,6:12,2.41
6/28/2020,6:18,2.43
6/28/2020,6:24,2.48
6/28/2020,6:30,2.53
6/28/2020,6:36,2.53
6/28/2020,6:42,2.54
6/28/2020,6:48,2.59
6/28/2020,6:54,2.56
6/28/2020,7:00,2.56
6/28/2020,7:06,2.52
6/28/2020,7:12,2.52
6/28/2020,7:18,2.43
6/28/2020,7:24,2.42
6/28/2020,7:30,2.4
6/28/2020,7:36,2.36
6/28/2020,7:42,2.35
6/28/2020,7:48,2.33
6/28/2020,7:54,2.22
6/28/2020,8:00,2.1
6/28/2020,8:06,2.06
6/28/2020,8:12,2.07
6/28/2020,8:18,1.97
6/28/2020,8:24,1.93
6/28/2020,8:30,1.82
6/28/2020,8:36,1.78
6/28/2020,8:42,1.72
6/28/2020,8:48,1.66
6/28/2020,8:54,1.55
6/28/2020,9:00,1.5
6/28/2020,9:06,1.39
6/28/2020,9:12,1.27
6/28/2020,9:18,1.16
6/28/2020,9:24,1.01
6/28/2020,9:30,0.93
6/28/2020,9:36,0.85
6/28/2020,9:42,0.73
6/28/2020,9:48,0.56
6/28/2020,9:54,0.45
6/28/2020,10:00,0.36
6/28/2020,10:06,0.28
6/28/2020,10:12,0.16
6/28/2020,10:18,0.09
6/28/2020,10:24,-0.03
6/28/2020,10:30,-0.16
6/28/2020,10:36,-0.26
6/28/2020,10:42,-0.33
6/28/2020,10:48,-0.45
6/28/2020,10:54,-0.52
6/28/2020,11:00,-0.63
6/28/2020,11:06,-0.72
6/28/2020,11:12,-0.8
6/28/2020,11:18,-0.88
6/28/2020,11:24,-0.98
6/28/2020,11:30,-1.05
6/28/2020,11:36,-1.13
6/28/2020,11:42,-1.22
6/28/2020,11:48,-1.3
6/28/2020,11:54,-1.36
6/28/2020,12:00,-1.41
6/28/2020,12:06,-1.47
6/28/2020,12:12,-1.54
6/28/2020,12:18,-1.6
6/28/2020,12:24,-1.61
6/28/2020,12:30,-1.61
6/28/2020,12:36,-1.65
6/28/2020,12:42,-1.68
6/28/2020,12:48,-1.71
6/28/2020,12:54,-1.68
6/28/2020,13:00,-1.7
6/28/2020,13:06,-1.73
6/28/2020,13:12,-1.71
6/28/2020,13:18,-1.74
6/28/2020,13:24,-1.71
6/28/2020,13:30,-1.66
6/28/2020,13:36,-1.6
6/28/2020,13:42,-1.58
6/28/2020,13:48,-1.55
6/28/2020,13:54,-1.5
6/28/2020,14:00,-1.48
6/28/2020,14:06,-1.4
6/28/2020,14:12,-1.35
6/28/2020,14:18,-1.35
6/28/2020,14:24,-1.24
6/28/2020,14:30,-1.19
6/28/2020,14:36,-1.15
6/28/2020,14:42,-1.06
6/28/2020,14:48,-0.99
6/28/2020,14:54,-0.92
6/28/2020,15:00,-0.84
6/28/2020,15:06,-0.74
6/28/2020,15:12,-0.67
6/28/2020,15:18,-0.58
6/28/2020,15:24,-0.48
6/28/2020,15:30,-0.36
6/28/2020,15:36,-0.29
6/28/2020,15:42,-0.18
6/28/2020,15:48,-0.08
6/28/2020,15:54,-0.02
6/28/2020,16:00,0.08
6/28/2020,16:06,0.2
6/28/2020,16:12,0.31
6/28/2020,16:18,0.43
6/28/2020,16:24,0.53
6/28/2020,16:30,0.63
6/28/2020,16:36,0.76
6/28/2020,16:42,0.86
6/28/2020,16:48,0.94
6/28/2020,16:54,1.05
6/28/2020,17:00,1.13
6/28/2020,17:06,1.23
6/28/2020,17:12,1.33
6/28/2020,17:18,1.43
6/28/2020,17:24,1.52
6/28/2020,17:30,1.63
6/28/2020,17:36,1.7
6/28/2020,17:42,1.74
6/28/2020,17:48,1.82
6/28/2020,17:54,1.92
6/28/2020,18:00,2.01
6/28/2020,18:06,2.05
6/28/2020,18:12,2.1
6/28/2020,18:18,2.16
6/28/2020,18:24,2.23
6/28/2020,18:30,2.25
6/28/2020,18:36,2.3
6/28/2020,18:42,2.35
6/28/2020,18:48,2.39
6/28/2020,18:54,2.4
6/28/2020,19:00,2.46
6/28/2020,19:06,2.48
6/28/2020,19:12,2.46
6/28/2020,19:18,2.49
6/28/2020,19:24,2.49
6/28/2020,19:30,2.49
6/28/2020,19:36,2.51
6/28/2020,19:42,2.5
6/28/2020,19:48,2.52
6/28/2020,19:54,2.51
6/28/2020,20:00,2.51
6/28/2020,20:06,2.48
6/28/2020,20:12,2.4
6/28/2020,20:18,2.38
6/28/2020,20:24,2.34
6/28/2020,20:30,2.31
6/28/2020,20:36,2.27
6/28/2020,20:42,2.29
6/28/2020,20:48,2.18
6/28/2020,20:54,2.08
6/28/2020,21:00,2.03
6/28/2020,21:06,1.98
6/28/2020,21:12,1.91
6/28/2020,21:18,1.84
6/28/2020,21:24,1.78
6/28/2020,21:30,1.68
6/28/2020,21:36,1.6
6/28/2020,21:42,1.52
6/28/2020,21:48,1.41
6/28/2020,21:54,1.3
6/28/2020,22:00,1.18
6/28/2020,22:06,1.09
6/28/2020,22:12,1
6/28/2020,22:18,0.96
6/28/2020,22:24,0.85
6/28/2020,22:30,0.76
6/28/2020,22:36,0.67
6/28/2020,22:42,0.59
6/28/2020,22:48,0.5
6/28/2020,22:54,0.38
6/28/2020,23:00,0.26
6/28/2020,23:06,0.18
6/28/2020,23:12,0.07
6/28/2020,23:18,-0.02
6/28/2020,23:24,-0.09
6/28/2020,23:30,-0.17
6/28/2020,23:36,-0.32
6/28/2020,23:42,-0.39
6/28/2020,23:48,-0.48
6/28/2020,23:54,-0.58
6/29/2020,0:00,-0.65
6/29/2020,0:06,-0.75
6/29/2020,0:12,-0.82
6/29/2020,0:18,-0.86
6/29/2020,0:24,-0.9
6/29/2020,0:30,-0.94
6/29/2020,0:36,-0.99
6/29/2020,0:42,-1.04
6/29/2020,0:48,-1.09
6/29/2020,0:54,-1.13
6/29/2020,1:00,-1.12
6/29/2020,1:06,-1.18
6/29/2020,1:12,-1.19
6/29/2020,1:18,-1.21
6/29/2020,1:24,-1.24
6/29/2020,1:30,-1.25
6/29/2020,1:36,-1.29
6/29/2020,1:42,-1.29
6/29/2020,1:48,-1.34
