Date,Time (GMT),Verified (ft)
8/31/1999,0:00,0.21
8/31/1999,0:06,0.26
8/31/1999,0:12,0.25
8/31/1999,0:18,0.36
8/31/1999,0:24,0.45
8/31/1999,0:30,0.57
8/31/1999,0:36,0.65
8/31/1999,0:42,0.77
8/31/1999,0:48,0.88
8/31/1999,0:54,1
8/31/1999,1:00,1.1
8/31/1999,1:06,1.26
8/31/1999,1:12,1.32
8/31/1999,1:18,1.42
8/31/1999,1:24,1.51
8/31/1999,1:30,1.67
8/31/1999,1:36,1.75
8/31/1999,1:42,1.88
8/31/1999,1:48,2
8/31/1999,1:54,2.13
8/31/1999,2:00,2.26
8/31/1999,2:06,2.33
8/31/1999,2:12,2.46
8/31/1999,2:18,2.54
8/31/1999,2:24,2.66
8/31/1999,2:30,2.76
8/31/1999,2:36,2.78
8/31/1999,2:42,2.85
8/31/1999,2:48,2.93
8/31/1999,2:54,3.03
8/31/1999,3:00,3.06
8/31/1999,3:06,3.11
8/31/1999,3:12,3.17
8/31/1999,3:18,3.21
8/31/1999,3:24,3.23
8/31/1999,3:30,3.32
8/31/1999,3:36,3.36
8/31/1999,3:42,3.38
8/31/1999,3:48,3.43
8/31/1999,3:54,3.48
8/31/1999,4:00,3.51
8/31/1999,4:06,3.47
8/31/1999,4:12,3.59
8/31/1999,4:18,3.61
8/31/1999,4:24,3.62
8/31/1999,4:30,3.66
8/31/1999,4:36,3.69
8/31/1999,4:42,3.72
8/31/1999,4:48,3.73
8/31/1999,4:54,3.64
8/31/1999,5:00,3.62
8/31/1999,5:06,3.55
8/31/1999,5:12,3.54
8/31/1999,5:18,3.48
8/31/1999,5:24,3.41
8/31/1999,5:30,3.37
8/31/1999,5:36,3.31
8/31/1999,5:42,3.2
8/31/1999,5:48,3.17
8/31/1999,5:54,3.1
8/31/1999,6:00,3.01
8/31/1999,6:06,2.95
8/31/1999,6:12,2.87
8/31/1999,6:18,2.78
8/31/1999,6:24,2.69
8/31/1999,6:30,2.63
8/31/1999,6:36,2.53
8/31/1999,6:42,2.37
8/31/1999,6:48,2.32
8/31/1999,6:54,2.25
8/31/1999,7:00,2.1
8/31/1999,7:06,2.02
8/31/1999,7:12,1.87
8/31/1999,7:18,1.79
8/31/1999,7:24,1.69
8/31/1999,7:30,1.56
8/31/1999,7:36,1.46
8/31/1999,7:42,1.38
8/31/1999,7:48,1.24
8/31/1999,7:54,1.14
8/31/1999,8:00,1.06
8/31/1999,8:06,0.92
8/31/1999,8:12,0.8
8/31/1999,8:18,0.71
8/31/1999,8:24,0.63
8/31/1999,8:30,0.49
8/31/1999,8:36,0.37
8/31/1999,8:42,0.28
8/31/1999,8:48,0.24
8/31/1999,8:54,0.15
8/31/1999,9:00,0.1
8/31/1999,9:06,0.03
8/31/1999,9:12,-0.01
8/31/1999,9:18,-0.06
8/31/1999,9:24,-0.12
8/31/1999,9:30,-0.22
8/31/1999,9:36,-0.28
8/31/1999,9:42,-0.3
8/31/1999,9:48,-0.33
8/31/1999,9:54,-0.35
8/31/1999,10:00,-0.38
8/31/1999,10:06,-0.39
8/31/1999,10:12,-0.42
8/31/1999,10:18,-0.44
8/31/1999,10:24,-0.41
8/31/1999,10:30,-0.42
8/31/1999,10:36,-0.41
8/31/1999,10:42,-0.39
8/31/1999,10:48,-0.44
8/31/1999,10:54,-0.43
8/31/1999,11:00,-0.4
8/31/1999,11:06,-0.38
8/31/1999,11:12,-0.37
8/31/1999,11:18,-0.32
8/31/1999,11:24,-0.28
8/31/1999,11:30,-0.26
8/31/1999,11:36,-0.2
8/31/1999,11:42,-0.13
8/31/1999,11:48,-0.11
8/31/1999,11:54,-0.05
8/31/1999,12:00,0.01
8/31/1999,12:06,0.09
8/31/1999,12:12,0.15
8/31/1999,12:18,0.24
8/31/1999,12:24,0.23
8/31/1999,12:30,0.31
8/31/1999,12:36,0.37
8/31/1999,12:42,0.56
8/31/1999,12:48,0.65
8/31/1999,12:54,0.76
8/31/1999,13:00,0.93
8/31/1999,13:06,1.01
8/31/1999,13:12,1.13
8/31/1999,13:18,1.19
8/31/1999,13:24,1.3
8/31/1999,13:30,1.43
8/31/1999,13:36,1.55
8/31/1999,13:42,1.64
