Date,Time (GMT),Verified (ft)
9/9/1985,0:00,-0.59
9/9/1985,1:00,-1.24
9/9/1985,2:00,-1.6
9/9/1985,3:00,-1.48
9/9/1985,4:00,-1.34
9/9/1985,5:00,-0.85
9/9/1985,6:00,-0.28
9/9/1985,7:00,0.08
9/9/1985,8:00,0.33
9/9/1985,9:00,0.29
9/9/1985,10:00,0.04
9/9/1985,11:00,-0.52
9/9/1985,12:00,-1.18
9/9/1985,13:00,-1.53
9/9/1985,14:00,-1.79
9/9/1985,15:00,-1.5
9/9/1985,16:00,-1.18
9/9/1985,17:00,-0.45
9/9/1985,18:00,0.38
9/9/1985,19:00,1.1
9/9/1985,20:00,1.5
9/9/1985,21:00,1.77
9/9/1985,22:00,1.59
9/9/1985,23:00,0.85
9/10/1985,0:00,0.16
9/10/1985,1:00,-0.47
9/10/1985,2:00,-1.08
9/10/1985,3:00,-1.33
9/10/1985,4:00,-1.3
9/10/1985,5:00,-1.02
9/10/1985,6:00,-0.54
9/10/1985,7:00,0
9/10/1985,8:00,0.56
9/10/1985,9:00,0.83
9/10/1985,10:00,0.84
9/10/1985,11:00,0.44
9/10/1985,12:00,-0.08
9/10/1985,13:00,-0.86
9/10/1985,14:00,-1.39
9/10/1985,15:00,-1.5
9/10/1985,16:00,-1.32
9/10/1985,17:00,-0.94
9/10/1985,18:00,-0.24
9/10/1985,19:00,0.83
9/10/1985,20:00,1.58
9/10/1985,21:00,2.1
9/10/1985,22:00,2.2
9/10/1985,23:00,1.9
9/11/1985,0:00,1.38
9/11/1985,1:00,0.8
9/11/1985,2:00,-0.72
9/11/1985,3:00,-1.48
9/11/1985,4:00,-1.65
9/11/1985,5:00,-1.51
9/11/1985,6:00,-1.21
9/11/1985,7:00,-0.6
9/11/1985,8:00,0.12
9/11/1985,9:00,0.74
9/11/1985,10:00,1.04
9/11/1985,11:00,1.08
9/11/1985,12:00,0.7
9/11/1985,13:00,0.18
9/11/1985,14:00,-0.58
9/11/1985,15:00,-1.13
9/11/1985,16:00,-1.36
9/11/1985,17:00,-1.24
9/11/1985,18:00,-0.71
9/11/1985,19:00,0.19
9/11/1985,20:00,1.24
