Date,Time (GMT),Verified (ft)
8/21/2008,0:00,-1.23
8/21/2008,0:06,-1.11
8/21/2008,0:12,-1.02
8/21/2008,0:18,-0.95
8/21/2008,0:24,-0.82
8/21/2008,0:30,-0.76
8/21/2008,0:36,-0.63
8/21/2008,0:42,-0.52
8/21/2008,0:48,-0.4
8/21/2008,0:54,-0.32
8/21/2008,1:00,-0.2
8/21/2008,1:06,-0.08
8/21/2008,1:12,0.06
8/21/2008,1:18,0.15
8/21/2008,1:24,0.26
8/21/2008,1:30,0.36
8/21/2008,1:36,0.46
8/21/2008,1:42,0.56
8/21/2008,1:48,0.67
8/21/2008,1:54,0.75
8/21/2008,2:00,0.84
8/21/2008,2:06,0.93
8/21/2008,2:12,1.04
8/21/2008,2:18,1.14
8/21/2008,2:24,1.18
8/21/2008,2:30,1.25
8/21/2008,2:36,1.31
8/21/2008,2:42,1.39
8/21/2008,2:48,1.46
8/21/2008,2:54,1.51
8/21/2008,3:00,1.58
8/21/2008,3:06,1.58
8/21/2008,3:12,1.66
8/21/2008,3:18,1.66
8/21/2008,3:24,1.71
8/21/2008,3:30,1.73
8/21/2008,3:36,1.78
8/21/2008,3:42,1.8
8/21/2008,3:48,1.81
8/21/2008,3:54,1.81
8/21/2008,4:00,1.81
8/21/2008,4:06,1.8
8/21/2008,4:12,1.81
8/21/2008,4:18,1.78
8/21/2008,4:24,1.76
8/21/2008,4:30,1.72
8/21/2008,4:36,1.69
8/21/2008,4:42,1.66
8/21/2008,4:48,1.57
8/21/2008,4:54,1.5
8/21/2008,5:00,1.47
8/21/2008,5:06,1.42
8/21/2008,5:12,1.3
8/21/2008,5:18,1.22
8/21/2008,5:24,1.18
8/21/2008,5:30,1.08
8/21/2008,5:36,1
8/21/2008,5:42,0.95
8/21/2008,5:48,0.9
8/21/2008,5:54,0.79
8/21/2008,6:00,0.68
8/21/2008,6:06,0.59
8/21/2008,6:12,0.5
8/21/2008,6:18,0.41
8/21/2008,6:24,0.3
8/21/2008,6:30,0.21
8/21/2008,6:36,0.12
8/21/2008,6:42,0
8/21/2008,6:48,-0.11
8/21/2008,6:54,-0.22
8/21/2008,7:00,-0.38
8/21/2008,7:06,-0.5
8/21/2008,7:12,-0.62
8/21/2008,7:18,-0.74
8/21/2008,7:24,-0.84
8/21/2008,7:30,-0.98
8/21/2008,7:36,-1.11
8/21/2008,7:42,-1.19
8/21/2008,7:48,-1.3
8/21/2008,7:54,-1.38
8/21/2008,8:00,-1.49
8/21/2008,8:06,-1.58
8/21/2008,8:12,-1.74
8/21/2008,8:18,-1.79
8/21/2008,8:24,-1.87
8/21/2008,8:30,-1.94
8/21/2008,8:36,-2.04
8/21/2008,8:42,-2.11
8/21/2008,8:48,-2.18
8/21/2008,8:54,-2.24
8/21/2008,9:00,-2.32
8/21/2008,9:06,-2.38
8/21/2008,9:12,-2.43
8/21/2008,9:18,-2.48
8/21/2008,9:24,-2.51
8/21/2008,9:30,-2.54
8/21/2008,9:36,-2.61
8/21/2008,9:42,-2.61
8/21/2008,9:48,-2.66
8/21/2008,9:54,-2.66
8/21/2008,10:00,-2.64
8/21/2008,10:06,-2.67
8/21/2008,10:12,-2.65
8/21/2008,10:18,-2.67
8/21/2008,10:24,-2.65
8/21/2008,10:30,-2.6
8/21/2008,10:36,-2.58
8/21/2008,10:42,-2.55
8/21/2008,10:48,-2.48
8/21/2008,10:54,-2.42
8/21/2008,11:00,-2.37
8/21/2008,11:06,-2.3
8/21/2008,11:12,-2.25
8/21/2008,11:18,-2.2
8/21/2008,11:24,-2.1
8/21/2008,11:30,-2.05
8/21/2008,11:36,-1.97
8/21/2008,11:42,-1.88
8/21/2008,11:48,-1.8
8/21/2008,11:54,-1.72
8/21/2008,12:00,-1.64
8/21/2008,12:06,-1.54
8/21/2008,12:12,-1.48
8/21/2008,12:18,-1.34
8/21/2008,12:24,-1.26
8/21/2008,12:30,-1.16
8/21/2008,12:36,-1.08
8/21/2008,12:42,-0.92
8/21/2008,12:48,-0.82
8/21/2008,12:54,-0.71
8/21/2008,13:00,-0.54
8/21/2008,13:06,-0.5
8/21/2008,13:12,-0.35
8/21/2008,13:18,-0.25
8/21/2008,13:24,-0.09
8/21/2008,13:30,0.02
8/21/2008,13:36,0.15
8/21/2008,13:42,0.3
8/21/2008,13:48,0.37
8/21/2008,13:54,0.51
8/21/2008,14:00,0.6
8/21/2008,14:06,0.7
8/21/2008,14:12,0.78
8/21/2008,14:18,0.91
8/21/2008,14:24,0.99
8/21/2008,14:30,1.07
8/21/2008,14:36,1.16
8/21/2008,14:42,1.22
8/21/2008,14:48,1.29
8/21/2008,14:54,1.34
8/21/2008,15:00,1.39
8/21/2008,15:06,1.48
8/21/2008,15:12,1.5
8/21/2008,15:18,1.57
8/21/2008,15:24,1.62
8/21/2008,15:30,1.65
8/21/2008,15:36,1.72
8/21/2008,15:42,1.75
8/21/2008,15:48,1.79
8/21/2008,15:54,1.81
8/21/2008,16:00,1.78
8/21/2008,16:06,1.84
8/21/2008,16:12,1.84
8/21/2008,16:18,1.87
8/21/2008,16:24,1.89
8/21/2008,16:30,1.88
8/21/2008,16:36,1.83
8/21/2008,16:42,1.84
8/21/2008,16:48,1.79
8/21/2008,16:54,1.77
8/21/2008,17:00,1.75
8/21/2008,17:06,1.65
8/21/2008,17:12,1.62
8/21/2008,17:18,1.59
8/21/2008,17:24,1.59
8/21/2008,17:30,1.5
8/21/2008,17:36,1.45
8/21/2008,17:42,1.41
8/21/2008,17:48,1.33
8/21/2008,17:54,1.29
8/21/2008,18:00,1.23
8/21/2008,18:06,1.13
8/21/2008,18:12,1.08
8/21/2008,18:18,0.99
8/21/2008,18:24,0.92
