Date,Time (GMT),Verified (ft)
8/19/2021,0:00,2.06
8/19/2021,0:06,1.97
8/19/2021,0:12,1.87
8/19/2021,0:18,1.73
8/19/2021,0:24,1.63
8/19/2021,0:30,1.5
8/19/2021,0:36,1.39
8/19/2021,0:42,1.27
8/19/2021,0:48,1.21
8/19/2021,0:54,1.1
8/19/2021,1:00,0.98
8/19/2021,1:06,0.86
8/19/2021,1:12,0.74
8/19/2021,1:18,0.62
8/19/2021,1:24,0.48
8/19/2021,1:30,0.36
8/19/2021,1:36,0.22
8/19/2021,1:42,0.08
8/19/2021,1:48,-0.05
8/19/2021,1:54,-0.17
8/19/2021,2:00,-0.29
8/19/2021,2:06,-0.4
8/19/2021,2:12,-0.49
8/19/2021,2:18,-0.62
8/19/2021,2:24,-0.72
8/19/2021,2:30,-0.83
8/19/2021,2:36,-0.94
8/19/2021,2:42,-1.04
8/19/2021,2:48,-1.1
8/19/2021,2:54,-1.18
8/19/2021,3:00,-1.28
8/19/2021,3:06,-1.37
8/19/2021,3:12,-1.43
8/19/2021,3:18,-1.49
8/19/2021,3:24,-1.55
8/19/2021,3:30,-1.63
8/19/2021,3:36,-1.68
8/19/2021,3:42,-1.72
8/19/2021,3:48,-1.8
8/19/2021,3:54,-1.8
8/19/2021,4:00,-1.83
8/19/2021,4:06,-1.83
8/19/2021,4:12,-1.85
8/19/2021,4:18,-1.87
8/19/2021,4:24,-1.85
8/19/2021,4:30,-1.86
8/19/2021,4:36,-1.85
8/19/2021,4:42,-1.84
8/19/2021,4:48,-1.84
8/19/2021,4:54,-1.85
8/19/2021,5:00,-1.82
8/19/2021,5:06,-1.79
8/19/2021,5:12,-1.78
8/19/2021,5:18,-1.73
8/19/2021,5:24,-1.71
8/19/2021,5:30,-1.7
8/19/2021,5:36,-1.63
8/19/2021,5:42,-1.59
8/19/2021,5:48,-1.53
8/19/2021,5:54,-1.46
8/19/2021,6:00,-1.4
8/19/2021,6:06,-1.34
8/19/2021,6:12,-1.34
8/19/2021,6:18,-1.28
8/19/2021,6:24,-1.19
8/19/2021,6:30,-1.11
8/19/2021,6:36,-1.04
8/19/2021,6:42,-0.97
8/19/2021,6:48,-0.89
8/19/2021,6:54,-0.82
8/19/2021,7:00,-0.71
8/19/2021,7:06,-0.61
8/19/2021,7:12,-0.53
8/19/2021,7:18,-0.43
8/19/2021,7:24,-0.33
8/19/2021,7:30,-0.23
8/19/2021,7:36,-0.15
8/19/2021,7:42,-0.05
8/19/2021,7:48,0.02
8/19/2021,7:54,0.12
8/19/2021,8:00,0.23
8/19/2021,8:06,0.32
8/19/2021,8:12,0.41
8/19/2021,8:18,0.49
8/19/2021,8:24,0.59
8/19/2021,8:30,0.63
8/19/2021,8:36,0.7
8/19/2021,8:42,0.77
8/19/2021,8:48,0.8
8/19/2021,8:54,0.87
8/19/2021,9:00,0.94
8/19/2021,9:06,1.02
8/19/2021,9:12,1.07
8/19/2021,9:18,1.13
8/19/2021,9:24,1.15
8/19/2021,9:30,1.2
8/19/2021,9:36,1.25
8/19/2021,9:42,1.24
8/19/2021,9:48,1.24
8/19/2021,9:54,1.29
8/19/2021,10:00,1.3
8/19/2021,10:06,1.3
8/19/2021,10:12,1.33
8/19/2021,10:18,1.33
8/19/2021,10:24,1.37
8/19/2021,10:30,1.36
8/19/2021,10:36,1.4
8/19/2021,10:42,1.41
8/19/2021,10:48,1.41
8/19/2021,10:54,1.4
8/19/2021,11:00,1.39
8/19/2021,11:06,1.37
8/19/2021,11:12,1.32
8/19/2021,11:18,1.27
8/19/2021,11:24,1.26
8/19/2021,11:30,1.23
8/19/2021,11:36,1.18
8/19/2021,11:42,1.14
8/19/2021,11:48,1.08
8/19/2021,11:54,1.01
8/19/2021,12:00,0.94
8/19/2021,12:06,0.88
8/19/2021,12:12,0.82
8/19/2021,12:18,0.76
8/19/2021,12:24,0.67
8/19/2021,12:30,0.58
8/19/2021,12:36,0.5
8/19/2021,12:42,0.4
8/19/2021,12:48,0.3
8/19/2021,12:54,0.25
8/19/2021,13:00,0.18
8/19/2021,13:06,0.1
8/19/2021,13:12,0.02
8/19/2021,13:18,-0.07
8/19/2021,13:24,-0.18
8/19/2021,13:30,-0.28
8/19/2021,13:36,-0.37
8/19/2021,13:42,-0.49
8/19/2021,13:48,-0.6
8/19/2021,13:54,-0.72
8/19/2021,14:00,-0.81
8/19/2021,14:06,-0.93
8/19/2021,14:12,-1.03
8/19/2021,14:18,-1.14
8/19/2021,14:24,-1.25
8/19/2021,14:30,-1.34
8/19/2021,14:36,-1.41
8/19/2021,14:42,-1.5
8/19/2021,14:48,-1.61
8/19/2021,14:54,-1.67
8/19/2021,15:00,-1.77
8/19/2021,15:06,-1.83
8/19/2021,15:12,-1.92
8/19/2021,15:18,-1.98
8/19/2021,15:24,-2.06
8/19/2021,15:30,-2.11
8/19/2021,15:36,-2.17
8/19/2021,15:42,-2.21
8/19/2021,15:48,-2.26
8/19/2021,15:54,-2.31
8/19/2021,16:00,-2.32
8/19/2021,16:06,-2.33
8/19/2021,16:12,-2.32
8/19/2021,16:18,-2.32
8/19/2021,16:24,-2.3
8/19/2021,16:30,-2.28
8/19/2021,16:36,-2.32
8/19/2021,16:42,-2.31
8/19/2021,16:48,-2.29
8/19/2021,16:54,-2.25
8/19/2021,17:00,-2.2
8/19/2021,17:06,-2.2
8/19/2021,17:12,-2.2
8/19/2021,17:18,-2.13
8/19/2021,17:24,-2.05
8/19/2021,17:30,-2.01
8/19/2021,17:36,-1.93
8/19/2021,17:42,-1.87
8/19/2021,17:48,-1.74
8/19/2021,17:54,-1.69
8/19/2021,18:00,-1.62
8/19/2021,18:06,-1.56
8/19/2021,18:12,-1.45
8/19/2021,18:18,-1.38
8/19/2021,18:24,-1.22
8/19/2021,18:30,-1.21
8/19/2021,18:36,-1.05
8/19/2021,18:42,-0.99
8/19/2021,18:48,-0.87
8/19/2021,18:54,-0.75
8/19/2021,19:00,-0.61
8/19/2021,19:06,-0.49
8/19/2021,19:12,-0.36
8/19/2021,19:18,-0.25
8/19/2021,19:24,-0.11
8/19/2021,19:30,0.01
8/19/2021,19:36,0.14
8/19/2021,19:42,0.21
8/19/2021,19:48,0.35
8/19/2021,19:54,0.47
8/19/2021,20:00,0.63
8/19/2021,20:06,0.74
8/19/2021,20:12,0.86
8/19/2021,20:18,0.95
8/19/2021,20:24,1.09
8/19/2021,20:30,1.22
8/19/2021,20:36,1.31
8/19/2021,20:42,1.43
8/19/2021,20:48,1.54
8/19/2021,20:54,1.63
8/19/2021,21:00,1.75
8/19/2021,21:06,1.83
8/19/2021,21:12,1.93
8/19/2021,21:18,2.04
8/19/2021,21:24,2.13
8/19/2021,21:30,2.22
8/19/2021,21:36,2.31
8/19/2021,21:42,2.38
8/19/2021,21:48,2.43
8/19/2021,21:54,2.51
8/19/2021,22:00,2.57
8/19/2021,22:06,2.66
8/19/2021,22:12,2.74
8/19/2021,22:18,2.79
8/19/2021,22:24,2.85
8/19/2021,22:30,2.89
8/19/2021,22:36,2.9
8/19/2021,22:42,2.92
8/19/2021,22:48,2.95
8/19/2021,22:54,2.98
8/19/2021,23:00,3
8/19/2021,23:06,3
8/19/2021,23:12,3.01
8/19/2021,23:18,3
8/19/2021,23:24,2.96
8/19/2021,23:30,2.97
8/19/2021,23:36,2.95
8/19/2021,23:42,2.91
8/19/2021,23:48,2.87
8/19/2021,23:54,2.82
8/20/2021,0:00,2.74
8/20/2021,0:06,2.68
8/20/2021,0:12,2.64
8/20/2021,0:18,2.59
8/20/2021,0:24,2.51
8/20/2021,0:30,2.4
8/20/2021,0:36,2.33
8/20/2021,0:42,2.27
8/20/2021,0:48,2.17
8/20/2021,0:54,2.08
8/20/2021,1:00,2.01
8/20/2021,1:06,1.92
8/20/2021,1:12,1.85
8/20/2021,1:18,1.75
8/20/2021,1:24,1.63
8/20/2021,1:30,1.51
8/20/2021,1:36,1.41
8/20/2021,1:42,1.3
8/20/2021,1:48,1.17
8/20/2021,1:54,1.01
8/20/2021,2:00,0.89
8/20/2021,2:06,0.79
8/20/2021,2:12,0.66
8/20/2021,2:18,0.52
8/20/2021,2:24,0.39
8/20/2021,2:30,0.26
8/20/2021,2:36,0.13
8/20/2021,2:42,0.01
8/20/2021,2:48,-0.11
8/20/2021,2:54,-0.25
8/20/2021,3:00,-0.38
8/20/2021,3:06,-0.52
8/20/2021,3:12,-0.66
8/20/2021,3:18,-0.77
8/20/2021,3:24,-0.86
8/20/2021,3:30,-0.98
8/20/2021,3:36,-1.11
8/20/2021,3:42,-1.21
8/20/2021,3:48,-1.3
8/20/2021,3:54,-1.39
8/20/2021,4:00,-1.49
8/20/2021,4:06,-1.55
8/20/2021,4:12,-1.62
8/20/2021,4:18,-1.71
8/20/2021,4:24,-1.78
8/20/2021,4:30,-1.88
8/20/2021,4:36,-1.91
8/20/2021,4:42,-1.95
8/20/2021,4:48,-1.97
8/20/2021,4:54,-2.03
8/20/2021,5:00,-2.07
8/20/2021,5:06,-2.11
8/20/2021,5:12,-2.09
8/20/2021,5:18,-2.14
8/20/2021,5:24,-2.13
8/20/2021,5:30,-2.17
8/20/2021,5:36,-2.16
8/20/2021,5:42,-2.12
8/20/2021,5:48,-2.11
8/20/2021,5:54,-2.09
8/20/2021,6:00,-2.09
8/20/2021,6:06,-2.06
8/20/2021,6:12,-2.05
8/20/2021,6:18,-1.97
8/20/2021,6:24,-1.94
8/20/2021,6:30,-1.91
8/20/2021,6:36,-1.91
8/20/2021,6:42,-1.84
8/20/2021,6:48,-1.78
8/20/2021,6:54,-1.7
8/20/2021,7:00,-1.64
8/20/2021,7:06,-1.55
8/20/2021,7:12,-1.49
8/20/2021,7:18,-1.39
8/20/2021,7:24,-1.3
8/20/2021,7:30,-1.22
8/20/2021,7:36,-1.16
8/20/2021,7:42,-1.05
8/20/2021,7:48,-0.94
8/20/2021,7:54,-0.86
8/20/2021,8:00,-0.74
8/20/2021,8:06,-0.64
8/20/2021,8:12,-0.52
8/20/2021,8:18,-0.39
8/20/2021,8:24,-0.28
8/20/2021,8:30,-0.18
8/20/2021,8:36,-0.07
8/20/2021,8:42,0.03
8/20/2021,8:48,0.13
8/20/2021,8:54,0.21
8/20/2021,9:00,0.31
8/20/2021,9:06,0.41
8/20/2021,9:12,0.53
8/20/2021,9:18,0.63
8/20/2021,9:24,0.74
8/20/2021,9:30,0.8
8/20/2021,9:36,0.86
8/20/2021,9:42,0.95
8/20/2021,9:48,1.04
8/20/2021,9:54,1.13
8/20/2021,10:00,1.16
8/20/2021,10:06,1.23
8/20/2021,10:12,1.28
8/20/2021,10:18,1.33
8/20/2021,10:24,1.36
8/20/2021,10:30,1.41
8/20/2021,10:36,1.43
8/20/2021,10:42,1.5
8/20/2021,10:48,1.51
8/20/2021,10:54,1.57
8/20/2021,11:00,1.58
8/20/2021,11:06,1.62
8/20/2021,11:12,1.65
8/20/2021,11:18,1.66
8/20/2021,11:24,1.66
8/20/2021,11:30,1.68
8/20/2021,11:36,1.65
8/20/2021,11:42,1.67
8/20/2021,11:48,1.66
8/20/2021,11:54,1.68
8/20/2021,12:00,1.65
8/20/2021,12:06,1.69
8/20/2021,12:12,1.68
8/20/2021,12:18,1.7
8/20/2021,12:24,1.65
8/20/2021,12:30,1.57
8/20/2021,12:36,1.55
8/20/2021,12:42,1.53
8/20/2021,12:48,1.43
8/20/2021,12:54,1.38
8/20/2021,13:00,1.35
8/20/2021,13:06,1.33
8/20/2021,13:12,1.24
8/20/2021,13:18,1.17
8/20/2021,13:24,1.01
8/20/2021,13:30,0.89
8/20/2021,13:36,0.85
8/20/2021,13:42,0.83
8/20/2021,13:48,0.73
8/20/2021,13:54,0.57
8/20/2021,14:00,0.49
8/20/2021,14:06,0.36
8/20/2021,14:12,0.36
8/20/2021,14:18,0.22
8/20/2021,14:24,0.09
8/20/2021,14:30,-0.04
8/20/2021,14:36,-0.1
8/20/2021,14:42,-0.2
8/20/2021,14:48,-0.33
8/20/2021,14:54,-0.43
8/20/2021,15:00,-0.61
8/20/2021,15:06,-0.74
8/20/2021,15:12,-0.9
8/20/2021,15:18,-0.94
8/20/2021,15:24,-1.08
8/20/2021,15:30,-1.17
8/20/2021,15:36,-1.33
8/20/2021,15:42,-1.42
8/20/2021,15:48,-1.55
8/20/2021,15:54,-1.73
8/20/2021,16:00,-1.82
8/20/2021,16:06,-1.91
8/20/2021,16:12,-1.93
8/20/2021,16:18,-1.97
8/20/2021,16:24,-2.01
8/20/2021,16:30,-2.11
8/20/2021,16:36,-2.15
8/20/2021,16:42,-2.13
8/20/2021,16:48,-2.17
8/20/2021,16:54,-2.18
8/20/2021,17:00,-2.17
8/20/2021,17:06,-2.24
8/20/2021,17:12,-2.3
8/20/2021,17:18,-2.27
8/20/2021,17:24,-2.25
8/20/2021,17:30,-2.21
8/20/2021,17:36,-2.23
8/20/2021,17:42,-2.2
8/20/2021,17:48,-2.15
8/20/2021,17:54,-2.07
8/20/2021,18:00,-1.97
8/20/2021,18:06,-1.95
8/20/2021,18:12,-1.92
8/20/2021,18:18,-1.81
8/20/2021,18:24,-1.76
8/20/2021,18:30,-1.75
8/20/2021,18:36,-1.77
8/20/2021,18:42,-1.63
8/20/2021,18:48,-1.6
8/20/2021,18:54,-1.45
8/20/2021,19:00,-1.43
8/20/2021,19:06,-1.35
8/20/2021,19:12,-1.28
8/20/2021,19:18,-1.17
8/20/2021,19:24,-1.09
8/20/2021,19:30,-1.02
8/20/2021,19:36,-0.93
8/20/2021,19:42,-0.82
8/20/2021,19:48,-0.67
8/20/2021,19:54,-0.5
8/20/2021,20:00,-0.46
8/20/2021,20:06,-0.43
8/20/2021,20:12,-0.25
8/20/2021,20:18,-0.08
8/20/2021,20:24,0.09
8/20/2021,20:30,0.23
8/20/2021,20:36,0.36
8/20/2021,20:42,0.46
8/20/2021,20:48,0.57
8/20/2021,20:54,0.68
8/20/2021,21:00,0.84
8/20/2021,21:06,0.95
8/20/2021,21:12,1.09
8/20/2021,21:18,1.27
8/20/2021,21:24,1.48
8/20/2021,21:30,1.61
8/20/2021,21:36,1.73
8/20/2021,21:42,1.88
8/20/2021,21:48,2.01
8/20/2021,21:54,2.11
8/20/2021,22:00,2.2
8/20/2021,22:06,2.14
8/20/2021,22:12,2.22
8/20/2021,22:18,2.31
8/20/2021,22:24,2.44
8/20/2021,22:30,2.58
8/20/2021,22:36,2.67
8/20/2021,22:42,2.74
8/20/2021,22:48,2.84
8/20/2021,22:54,2.96
8/20/2021,23:00,3.02
8/20/2021,23:06,3.03
8/20/2021,23:12,3.05
8/20/2021,23:18,3.08
8/20/2021,23:24,3.1
8/20/2021,23:30,3.14
8/20/2021,23:36,3.13
8/20/2021,23:42,3.17
8/20/2021,23:48,3.22
8/20/2021,23:54,3.32
8/21/2021,0:00,3.34
8/21/2021,0:06,3.33
8/21/2021,0:12,3.28
8/21/2021,0:18,3.27
8/21/2021,0:24,3.27
8/21/2021,0:30,3.2
8/21/2021,0:36,3.22
8/21/2021,0:42,3.16
8/21/2021,0:48,3.15
8/21/2021,0:54,3.07
8/21/2021,1:00,3.05
8/21/2021,1:06,2.97
8/21/2021,1:12,2.89
8/21/2021,1:18,2.76
8/21/2021,1:24,2.64
