Date,Time (GMT),Verified (ft)
8/14/2011,0:00,2.11
8/14/2011,0:06,2.19
8/14/2011,0:12,2.25
8/14/2011,0:18,2.28
8/14/2011,0:24,2.31
8/14/2011,0:30,2.35
8/14/2011,0:36,2.41
8/14/2011,0:42,2.44
8/14/2011,0:48,2.44
8/14/2011,0:54,2.45
8/14/2011,1:00,2.51
8/14/2011,1:06,2.52
8/14/2011,1:12,2.52
8/14/2011,1:18,2.51
8/14/2011,1:24,2.49
8/14/2011,1:30,2.51
8/14/2011,1:36,2.52
8/14/2011,1:42,2.55
8/14/2011,1:48,2.56
8/14/2011,1:54,2.44
8/14/2011,2:00,2.42
8/14/2011,2:06,2.4
8/14/2011,2:12,2.38
8/14/2011,2:18,2.3
8/14/2011,2:24,2.24
8/14/2011,2:30,2.22
8/14/2011,2:36,2.19
8/14/2011,2:42,2.14
8/14/2011,2:48,2.04
8/14/2011,2:54,1.96
8/14/2011,3:00,1.86
8/14/2011,3:06,1.78
8/14/2011,3:12,1.7
8/14/2011,3:18,1.58
8/14/2011,3:24,1.53
8/14/2011,3:30,1.41
8/14/2011,3:36,1.32
8/14/2011,3:42,1.21
8/14/2011,3:48,1.11
8/14/2011,3:54,1.06
8/14/2011,4:00,0.9
8/14/2011,4:06,0.79
8/14/2011,4:12,0.64
8/14/2011,4:18,0.55
8/14/2011,4:24,0.44
8/14/2011,4:30,0.29
8/14/2011,4:36,0.17
8/14/2011,4:42,0.04
8/14/2011,4:48,-0.07
8/14/2011,4:54,-0.19
8/14/2011,5:00,-0.28
8/14/2011,5:06,-0.42
8/14/2011,5:12,-0.51
8/14/2011,5:18,-0.65
8/14/2011,5:24,-0.76
8/14/2011,5:30,-0.89
8/14/2011,5:36,-1
8/14/2011,5:42,-1.13
8/14/2011,5:48,-1.23
8/14/2011,5:54,-1.31
8/14/2011,6:00,-1.39
8/14/2011,6:06,-1.52
8/14/2011,6:12,-1.61
8/14/2011,6:18,-1.69
8/14/2011,6:24,-1.77
8/14/2011,6:30,-1.85
8/14/2011,6:36,-1.94
8/14/2011,6:42,-2.01
8/14/2011,6:48,-2.07
8/14/2011,6:54,-2.12
8/14/2011,7:00,-2.17
8/14/2011,7:06,-2.23
8/14/2011,7:12,-2.25
8/14/2011,7:18,-2.25
8/14/2011,7:24,-2.3
8/14/2011,7:30,-2.29
8/14/2011,7:36,-2.31
8/14/2011,7:42,-2.31
8/14/2011,7:48,-2.28
8/14/2011,7:54,-2.27
8/14/2011,8:00,-2.2
8/14/2011,8:06,-2.15
8/14/2011,8:12,-2.1
8/14/2011,8:18,-2.08
8/14/2011,8:24,-2.01
8/14/2011,8:30,-1.93
8/14/2011,8:36,-1.85
8/14/2011,8:42,-1.78
8/14/2011,8:48,-1.75
8/14/2011,8:54,-1.74
8/14/2011,9:00,-1.64
8/14/2011,9:06,-1.55
8/14/2011,9:12,-1.46
8/14/2011,9:18,-1.38
8/14/2011,9:24,-1.3
8/14/2011,9:30,-1.22
8/14/2011,9:36,-1.1
8/14/2011,9:42,-1.03
8/14/2011,9:48,-0.97
8/14/2011,9:54,-0.9
8/14/2011,10:00,-0.82
8/14/2011,10:06,-0.71
8/14/2011,10:12,-0.62
8/14/2011,10:18,-0.5
8/14/2011,10:24,-0.4
8/14/2011,10:30,-0.31
8/14/2011,10:36,-0.21
8/14/2011,10:42,-0.07
8/14/2011,10:48,0.03
8/14/2011,10:54,0.12
8/14/2011,11:00,0.25
8/14/2011,11:06,0.33
8/14/2011,11:12,0.46
8/14/2011,11:18,0.56
8/14/2011,11:24,0.65
8/14/2011,11:30,0.72
8/14/2011,11:36,0.8
8/14/2011,11:42,0.9
8/14/2011,11:48,1.01
8/14/2011,11:54,1.09
8/14/2011,12:00,1.17
8/14/2011,12:06,1.24
8/14/2011,12:12,1.31
8/14/2011,12:18,1.41
8/14/2011,12:24,1.48
8/14/2011,12:30,1.53
8/14/2011,12:36,1.6
8/14/2011,12:42,1.67
8/14/2011,12:48,1.71
8/14/2011,12:54,1.76
8/14/2011,13:00,1.81
8/14/2011,13:06,1.78
8/14/2011,13:12,1.8
8/14/2011,13:18,1.81
8/14/2011,13:24,1.85
8/14/2011,13:30,1.86
8/14/2011,13:36,1.87
8/14/2011,13:42,1.9
8/14/2011,13:48,1.95
8/14/2011,13:54,1.92
8/14/2011,14:00,1.9
8/14/2011,14:06,1.87
8/14/2011,14:12,1.85
8/14/2011,14:18,1.85
8/14/2011,14:24,1.81
8/14/2011,14:30,1.75
8/14/2011,14:36,1.73
8/14/2011,14:42,1.71
8/14/2011,14:48,1.66
8/14/2011,14:54,1.62
8/14/2011,15:00,1.53
8/14/2011,15:06,1.5
8/14/2011,15:12,1.39
8/14/2011,15:18,1.32
8/14/2011,15:24,1.26
8/14/2011,15:30,1.15
8/14/2011,15:36,1.1
8/14/2011,15:42,1
8/14/2011,15:48,0.93
8/14/2011,15:54,0.84
8/14/2011,16:00,0.76
8/14/2011,16:06,0.71
8/14/2011,16:12,0.58
8/14/2011,16:18,0.45
8/14/2011,16:24,0.35
8/14/2011,16:30,0.22
8/14/2011,16:36,0.05
8/14/2011,16:42,-0.08
8/14/2011,16:48,-0.21
8/14/2011,16:54,-0.31
8/14/2011,17:00,-0.44
8/14/2011,17:06,-0.53
8/14/2011,17:12,-0.58
8/14/2011,17:18,-0.71
8/14/2011,17:24,-0.82
8/14/2011,17:30,-0.96
8/14/2011,17:36,-1.07
8/14/2011,17:42,-1.22
8/14/2011,17:48,-1.29
8/14/2011,17:54,-1.34
8/14/2011,18:00,-1.45
8/14/2011,18:06,-1.51
8/14/2011,18:12,-1.64
8/14/2011,18:18,-1.7
8/14/2011,18:24,-1.77
8/14/2011,18:30,-1.85
8/14/2011,18:36,-1.87
8/14/2011,18:42,-1.95
8/14/2011,18:48,-2.03
8/14/2011,18:54,-2.07
8/14/2011,19:00,-2.07
8/14/2011,19:06,-2.02
8/14/2011,19:12,-2.04
8/14/2011,19:18,-2.1
8/14/2011,19:24,-2.15
8/14/2011,19:30,-2.15
8/14/2011,19:36,-2.15
8/14/2011,19:42,-2.08
8/14/2011,19:48,-2.06
8/14/2011,19:54,-2.01
8/14/2011,20:00,-2.04
8/14/2011,20:06,-2.02
8/14/2011,20:12,-1.98
8/14/2011,20:18,-1.97
8/14/2011,20:24,-1.91
8/14/2011,20:30,-1.83
8/14/2011,20:36,-1.75
8/14/2011,20:42,-1.72
8/14/2011,20:48,-1.68
8/14/2011,20:54,-1.77
8/14/2011,21:00,-1.59
8/14/2011,21:06,-1.51
8/14/2011,21:12,-1.36
8/14/2011,21:18,-1.4
8/14/2011,21:24,-1.34
8/14/2011,21:30,-1.36
8/14/2011,21:36,-1.13
8/14/2011,21:42,-1.07
8/14/2011,21:48,-0.98
8/14/2011,21:54,-0.96
8/14/2011,22:00,-0.87
8/14/2011,22:06,-0.82
8/14/2011,22:12,-0.72
8/14/2011,22:18,-0.65
8/14/2011,22:24,-0.49
8/14/2011,22:30,-0.34
8/14/2011,22:36,-0.19
8/14/2011,22:42,-0.15
8/14/2011,22:48,-0.06
8/14/2011,22:54,0.07
8/14/2011,23:00,0.19
8/14/2011,23:06,0.34
8/14/2011,23:12,0.49
8/14/2011,23:18,0.59
8/14/2011,23:24,0.68
8/14/2011,23:30,0.81
8/14/2011,23:36,0.92
8/14/2011,23:42,1.05
8/14/2011,23:48,1.17
8/14/2011,23:54,1.3
8/15/2011,0:00,1.4
8/15/2011,0:06,1.54
8/15/2011,0:12,1.63
8/15/2011,0:18,1.69
8/15/2011,0:24,1.74
8/15/2011,0:30,1.85
8/15/2011,0:36,1.94
8/15/2011,0:42,2.03
8/15/2011,0:48,2.1
8/15/2011,0:54,2.19
8/15/2011,1:00,2.27
8/15/2011,1:06,2.41
8/15/2011,1:12,2.47
8/15/2011,1:18,2.49
8/15/2011,1:24,2.56
8/15/2011,1:30,2.61
8/15/2011,1:36,2.63
8/15/2011,1:42,2.57
8/15/2011,1:48,2.65
8/15/2011,1:54,2.68
8/15/2011,2:00,2.73
8/15/2011,2:06,2.71
8/15/2011,2:12,2.74
8/15/2011,2:18,2.72
8/15/2011,2:24,2.73
8/15/2011,2:30,2.71
8/15/2011,2:36,2.68
8/15/2011,2:42,2.6
8/15/2011,2:48,2.55
8/15/2011,2:54,2.49
8/15/2011,3:00,2.45
8/15/2011,3:06,2.42
8/15/2011,3:12,2.38
8/15/2011,3:18,2.28
8/15/2011,3:24,2.22
8/15/2011,3:30,2.18
8/15/2011,3:36,2.14
8/15/2011,3:42,2.02
8/15/2011,3:48,1.93
8/15/2011,3:54,1.86
8/15/2011,4:00,1.77
8/15/2011,4:06,1.66
8/15/2011,4:12,1.59
8/15/2011,4:18,1.45
8/15/2011,4:24,1.39
8/15/2011,4:30,1.26
8/15/2011,4:36,1.21
8/15/2011,4:42,1.14
8/15/2011,4:48,1.01
8/15/2011,4:54,0.91
8/15/2011,5:00,0.81
8/15/2011,5:06,0.67
8/15/2011,5:12,0.55
8/15/2011,5:18,0.44
8/15/2011,5:24,0.28
8/15/2011,5:30,0.16
8/15/2011,5:36,0.09
8/15/2011,5:42,-0.03
8/15/2011,5:48,-0.14
8/15/2011,5:54,-0.25
8/15/2011,6:00,-0.36
8/15/2011,6:06,-0.5
8/15/2011,6:12,-0.58
8/15/2011,6:18,-0.65
8/15/2011,6:24,-0.75
8/15/2011,6:30,-0.81
8/15/2011,6:36,-0.91
8/15/2011,6:42,-1.03
8/15/2011,6:48,-1.14
8/15/2011,6:54,-1.21
8/15/2011,7:00,-1.31
8/15/2011,7:06,-1.42
8/15/2011,7:12,-1.5
8/15/2011,7:18,-1.55
8/15/2011,7:24,-1.57
8/15/2011,7:30,-1.62
8/15/2011,7:36,-1.65
8/15/2011,7:42,-1.74
8/15/2011,7:48,-1.76
8/15/2011,7:54,-1.72
8/15/2011,8:00,-1.69
8/15/2011,8:06,-1.73
8/15/2011,8:12,-1.71
8/15/2011,8:18,-1.74
8/15/2011,8:24,-1.74
8/15/2011,8:30,-1.72
8/15/2011,8:36,-1.68
8/15/2011,8:42,-1.64
8/15/2011,8:48,-1.61
8/15/2011,8:54,-1.58
8/15/2011,9:00,-1.53
8/15/2011,9:06,-1.45
8/15/2011,9:12,-1.4
8/15/2011,9:18,-1.41
8/15/2011,9:24,-1.32
8/15/2011,9:30,-1.25
8/15/2011,9:36,-1.16
8/15/2011,9:42,-1.06
8/15/2011,9:48,-1.06
8/15/2011,9:54,-1.01
8/15/2011,10:00,-0.91
8/15/2011,10:06,-0.81
8/15/2011,10:12,-0.73
8/15/2011,10:18,-0.66
8/15/2011,10:24,-0.54
8/15/2011,10:30,-0.42
8/15/2011,10:36,-0.36
8/15/2011,10:42,-0.25
8/15/2011,10:48,-0.12
8/15/2011,10:54,-0.03
8/15/2011,11:00,0.06
8/15/2011,11:06,0.2
8/15/2011,11:12,0.32
8/15/2011,11:18,0.43
8/15/2011,11:24,0.54
8/15/2011,11:30,0.62
8/15/2011,11:36,0.71
8/15/2011,11:42,0.83
8/15/2011,11:48,0.92
8/15/2011,11:54,1
8/15/2011,12:00,1.05
8/15/2011,12:06,1.12
8/15/2011,12:12,1.23
8/15/2011,12:18,1.33
8/15/2011,12:24,1.44
8/15/2011,12:30,1.5
8/15/2011,12:36,1.61
8/15/2011,12:42,1.72
8/15/2011,12:48,1.81
8/15/2011,12:54,1.89
8/15/2011,13:00,1.98
8/15/2011,13:06,2.05
8/15/2011,13:12,2.11
8/15/2011,13:18,2.16
8/15/2011,13:24,2.2
8/15/2011,13:30,2.28
8/15/2011,13:36,2.36
8/15/2011,13:42,2.34
8/15/2011,13:48,2.36
8/15/2011,13:54,2.38
8/15/2011,14:00,2.42
8/15/2011,14:06,2.42
8/15/2011,14:12,2.41
8/15/2011,14:18,2.4
8/15/2011,14:24,2.44
8/15/2011,14:30,2.48
8/15/2011,14:36,2.37
8/15/2011,14:42,2.36
8/15/2011,14:48,2.29
8/15/2011,14:54,2.28
8/15/2011,15:00,2.27
8/15/2011,15:06,2.23
8/15/2011,15:12,2.18
8/15/2011,15:18,2.13
8/15/2011,15:24,2.14
8/15/2011,15:30,2.1
8/15/2011,15:36,2.06
8/15/2011,15:42,2.03
8/15/2011,15:48,1.94
8/15/2011,15:54,1.85
8/15/2011,16:00,1.79
8/15/2011,16:06,1.72
8/15/2011,16:12,1.63
8/15/2011,16:18,1.52
8/15/2011,16:24,1.45
8/15/2011,16:30,1.37
8/15/2011,16:36,1.35
8/15/2011,16:42,1.28
8/15/2011,16:48,1.19
8/15/2011,16:54,1.03
8/15/2011,17:00,0.9
8/15/2011,17:06,0.85
8/15/2011,17:12,0.75
8/15/2011,17:18,0.58
8/15/2011,17:24,0.46
8/15/2011,17:30,0.26
8/15/2011,17:36,0.18
8/15/2011,17:42,0.09
8/15/2011,17:48,-0.03
8/15/2011,17:54,-0.14
8/15/2011,18:00,-0.23
8/15/2011,18:06,-0.31
8/15/2011,18:12,-0.42
8/15/2011,18:18,-0.53
8/15/2011,18:24,-0.65
8/15/2011,18:30,-0.74
8/15/2011,18:36,-0.86
8/15/2011,18:42,-0.95
8/15/2011,18:48,-1.04
8/15/2011,18:54,-1.09
8/15/2011,19:00,-1.17
8/15/2011,19:06,-1.28
8/15/2011,19:12,-1.32
8/15/2011,19:18,-1.35
8/15/2011,19:24,-1.4
8/15/2011,19:30,-1.46
8/15/2011,19:36,-1.53
8/15/2011,19:42,-1.57
8/15/2011,19:48,-1.6
8/15/2011,19:54,-1.59
8/15/2011,20:00,-1.64
8/15/2011,20:06,-1.68
8/15/2011,20:12,-1.71
8/15/2011,20:18,-1.66
8/15/2011,20:24,-1.58
8/15/2011,20:30,-1.45
8/15/2011,20:36,-1.67
8/15/2011,20:42,-1.53
8/15/2011,20:48,-1.35
8/15/2011,20:54,-1.24
8/15/2011,21:00,-1.31
8/15/2011,21:06,-1.45
8/15/2011,21:12,-1.55
8/15/2011,21:18,-1.52
8/15/2011,21:24,-1.26
8/15/2011,21:30,-1.12
8/15/2011,21:36,-1.22
8/15/2011,21:42,-1.24
8/15/2011,21:48,-1.19
8/15/2011,21:54,-1.09
8/15/2011,22:00,-1.06
8/15/2011,22:06,-1.01
8/15/2011,22:12,-0.91
8/15/2011,22:18,-0.81
8/15/2011,22:24,-0.66
8/15/2011,22:30,-0.58
8/15/2011,22:36,-0.53
8/15/2011,22:42,-0.49
8/15/2011,22:48,-0.33
8/15/2011,22:54,-0.28
8/15/2011,23:00,-0.16
8/15/2011,23:06,-0.04
8/15/2011,23:12,0.01
8/15/2011,23:18,0.11
8/15/2011,23:24,0.18
8/15/2011,23:30,0.36
8/15/2011,23:36,0.51
8/15/2011,23:42,0.57
8/15/2011,23:48,0.65
8/15/2011,23:54,0.76
8/16/2011,0:00,0.93
8/16/2011,0:06,1.04
8/16/2011,0:12,1.11
8/16/2011,0:18,1.25
8/16/2011,0:24,1.38
8/16/2011,0:30,1.43
8/16/2011,0:36,1.51
8/16/2011,0:42,1.57
8/16/2011,0:48,1.66
8/16/2011,0:54,1.77
8/16/2011,1:00,1.85
8/16/2011,1:06,1.96
8/16/2011,1:12,2.02
8/16/2011,1:18,2.12
8/16/2011,1:24,2.19
8/16/2011,1:30,2.25
8/16/2011,1:36,2.34
8/16/2011,1:42,2.43
8/16/2011,1:48,2.5
8/16/2011,1:54,2.56
8/16/2011,2:00,2.57
8/16/2011,2:06,2.58
8/16/2011,2:12,2.62
8/16/2011,2:18,2.64
8/16/2011,2:24,2.68
8/16/2011,2:30,2.73
8/16/2011,2:36,2.77
8/16/2011,2:42,2.77
8/16/2011,2:48,2.79
8/16/2011,2:54,2.78
8/16/2011,3:00,2.83
8/16/2011,3:06,2.73
8/16/2011,3:12,2.75
8/16/2011,3:18,2.65
8/16/2011,3:24,2.61
8/16/2011,3:30,2.59
8/16/2011,3:36,2.56
8/16/2011,3:42,2.52
8/16/2011,3:48,2.49
8/16/2011,3:54,2.38
8/16/2011,4:00,2.3
8/16/2011,4:06,2.22
8/16/2011,4:12,2.15
8/16/2011,4:18,2.08
8/16/2011,4:24,2.01
8/16/2011,4:30,1.9
8/16/2011,4:36,1.78
8/16/2011,4:42,1.68
8/16/2011,4:48,1.61
8/16/2011,4:54,1.48
8/16/2011,5:00,1.39
8/16/2011,5:06,1.33
8/16/2011,5:12,1.18
8/16/2011,5:18,1.07
8/16/2011,5:24,0.96
8/16/2011,5:30,0.83
8/16/2011,5:36,0.66
8/16/2011,5:42,0.6
8/16/2011,5:48,0.49
8/16/2011,5:54,0.35
8/16/2011,6:00,0.27
8/16/2011,6:06,0.16
8/16/2011,6:12,0.02
8/16/2011,6:18,-0.06
8/16/2011,6:24,-0.18
8/16/2011,6:30,-0.29
8/16/2011,6:36,-0.44
8/16/2011,6:42,-0.53
8/16/2011,6:48,-0.63
8/16/2011,6:54,-0.75
8/16/2011,7:00,-0.84
8/16/2011,7:06,-0.88
8/16/2011,7:12,-0.96
8/16/2011,7:18,-1.04
8/16/2011,7:24,-1.11
8/16/2011,7:30,-1.14
8/16/2011,7:36,-1.25
8/16/2011,7:42,-1.38
8/16/2011,7:48,-1.38
8/16/2011,7:54,-1.45
8/16/2011,8:00,-1.52
8/16/2011,8:06,-1.56
8/16/2011,8:12,-1.59
8/16/2011,8:18,-1.62
8/16/2011,8:24,-1.7
8/16/2011,8:30,-1.67
8/16/2011,8:36,-1.64
8/16/2011,8:42,-1.71
8/16/2011,8:48,-1.75
8/16/2011,8:54,-1.69
8/16/2011,9:00,-1.68
8/16/2011,9:06,-1.7
8/16/2011,9:12,-1.67
8/16/2011,9:18,-1.63
8/16/2011,9:24,-1.62
8/16/2011,9:30,-1.62
8/16/2011,9:36,-1.5
8/16/2011,9:42,-1.5
8/16/2011,9:48,-1.47
8/16/2011,9:54,-1.41
8/16/2011,10:00,-1.35
8/16/2011,10:06,-1.36
8/16/2011,10:12,-1.28
8/16/2011,10:18,-1.12
8/16/2011,10:24,-1.1
8/16/2011,10:30,-1.11
8/16/2011,10:36,-1.06
8/16/2011,10:42,-0.99
8/16/2011,10:48,-0.93
8/16/2011,10:54,-0.86
8/16/2011,11:00,-0.73
8/16/2011,11:06,-0.62
8/16/2011,11:12,-0.49
8/16/2011,11:18,-0.48
8/16/2011,11:24,-0.34
8/16/2011,11:30,-0.25
8/16/2011,11:36,-0.15
