Date,Time (GMT),Verified (ft)
7/21/2020,0:00,2.52
7/21/2020,0:06,2.63
7/21/2020,0:12,2.69
7/21/2020,0:18,2.75
7/21/2020,0:24,2.82
7/21/2020,0:30,2.88
7/21/2020,0:36,2.9
7/21/2020,0:42,2.95
7/21/2020,0:48,3.03
7/21/2020,0:54,3.06
7/21/2020,1:00,3.08
7/21/2020,1:06,3.09
7/21/2020,1:12,3.15
7/21/2020,1:18,3.18
7/21/2020,1:24,3.15
7/21/2020,1:30,3.15
7/21/2020,1:36,3.09
7/21/2020,1:42,3.08
7/21/2020,1:48,3.08
7/21/2020,1:54,3.05
7/21/2020,2:00,3
7/21/2020,2:06,2.95
7/21/2020,2:12,2.94
7/21/2020,2:18,2.89
7/21/2020,2:24,2.81
7/21/2020,2:30,2.72
7/21/2020,2:36,2.71
7/21/2020,2:42,2.63
7/21/2020,2:48,2.55
7/21/2020,2:54,2.46
7/21/2020,3:00,2.39
7/21/2020,3:06,2.31
7/21/2020,3:12,2.21
7/21/2020,3:18,2.12
7/21/2020,3:24,1.98
7/21/2020,3:30,1.92
7/21/2020,3:36,1.84
7/21/2020,3:42,1.74
7/21/2020,3:48,1.6
7/21/2020,3:54,1.48
7/21/2020,4:00,1.36
7/21/2020,4:06,1.26
7/21/2020,4:12,1.15
7/21/2020,4:18,0.99
7/21/2020,4:24,0.87
7/21/2020,4:30,0.72
7/21/2020,4:36,0.59
7/21/2020,4:42,0.46
7/21/2020,4:48,0.32
7/21/2020,4:54,0.2
7/21/2020,5:00,0.06
7/21/2020,5:06,-0.07
7/21/2020,5:12,-0.1
7/21/2020,5:18,-0.25
7/21/2020,5:24,-0.32
7/21/2020,5:30,-0.51
7/21/2020,5:36,-0.57
7/21/2020,5:42,-0.69
7/21/2020,5:48,-0.82
7/21/2020,5:54,-0.91
7/21/2020,6:00,-1.05
7/21/2020,6:06,-1.14
7/21/2020,6:12,-1.21
7/21/2020,6:18,-1.33
7/21/2020,6:24,-1.43
7/21/2020,6:30,-1.5
7/21/2020,6:36,-1.55
7/21/2020,6:42,-1.63
7/21/2020,6:48,-1.69
7/21/2020,6:54,-1.79
7/21/2020,7:00,-1.82
7/21/2020,7:06,-1.91
7/21/2020,7:12,-1.93
7/21/2020,7:18,-1.98
7/21/2020,7:24,-1.96
7/21/2020,7:30,-1.97
7/21/2020,7:36,-1.98
7/21/2020,7:42,-2.03
7/21/2020,7:48,-1.97
7/21/2020,7:54,-2.02
7/21/2020,8:00,-1.97
7/21/2020,8:06,-1.98
7/21/2020,8:12,-1.97
7/21/2020,8:18,-1.98
7/21/2020,8:24,-1.93
7/21/2020,8:30,-1.88
7/21/2020,8:36,-1.85
7/21/2020,8:42,-1.83
7/21/2020,8:48,-1.77
7/21/2020,8:54,-1.72
7/21/2020,9:00,-1.64
7/21/2020,9:06,-1.58
7/21/2020,9:12,-1.55
7/21/2020,9:18,-1.5
7/21/2020,9:24,-1.45
7/21/2020,9:30,-1.36
7/21/2020,9:36,-1.32
7/21/2020,9:42,-1.19
7/21/2020,9:48,-1.13
7/21/2020,9:54,-1.02
7/21/2020,10:00,-0.98
7/21/2020,10:06,-0.87
7/21/2020,10:12,-0.76
7/21/2020,10:18,-0.66
7/21/2020,10:24,-0.55
7/21/2020,10:30,-0.43
7/21/2020,10:36,-0.36
7/21/2020,10:42,-0.25
7/21/2020,10:48,-0.17
7/21/2020,10:54,-0.06
7/21/2020,11:00,0.05
7/21/2020,11:06,0.14
7/21/2020,11:12,0.24
7/21/2020,11:18,0.35
7/21/2020,11:24,0.45
7/21/2020,11:30,0.55
7/21/2020,11:36,0.63
7/21/2020,11:42,0.72
7/21/2020,11:48,0.81
7/21/2020,11:54,0.9
7/21/2020,12:00,0.98
7/21/2020,12:06,1.01
7/21/2020,12:12,1.1
7/21/2020,12:18,1.2
7/21/2020,12:24,1.24
7/21/2020,12:30,1.31
7/21/2020,12:36,1.39
7/21/2020,12:42,1.44
7/21/2020,12:48,1.54
7/21/2020,12:54,1.57
7/21/2020,13:00,1.6
7/21/2020,13:06,1.67
7/21/2020,13:12,1.7
7/21/2020,13:18,1.71
7/21/2020,13:24,1.69
7/21/2020,13:30,1.75
7/21/2020,13:36,1.74
7/21/2020,13:42,1.76
7/21/2020,13:48,1.8
7/21/2020,13:54,1.83
7/21/2020,14:00,1.84
7/21/2020,14:06,1.81
7/21/2020,14:12,1.83
7/21/2020,14:18,1.83
7/21/2020,14:24,1.79
7/21/2020,14:30,1.73
7/21/2020,14:36,1.7
7/21/2020,14:42,1.63
7/21/2020,14:48,1.58
7/21/2020,14:54,1.6
7/21/2020,15:00,1.56
7/21/2020,15:06,1.45
7/21/2020,15:12,1.36
7/21/2020,15:18,1.29
7/21/2020,15:24,1.25
7/21/2020,15:30,1.18
7/21/2020,15:36,1.11
7/21/2020,15:42,1.03
7/21/2020,15:48,0.91
