Date,Time (GMT),Verified (ft)
9/6/2004,0:00,-0.06
9/6/2004,0:06,-0.09
9/6/2004,0:12,-0.11
9/6/2004,0:18,-0.1
9/6/2004,0:24,-0.15
9/6/2004,0:30,-0.24
9/6/2004,0:36,-0.27
9/6/2004,0:42,-0.19
9/6/2004,0:48,-0.17
9/6/2004,0:54,-0.12
9/6/2004,1:00,-0.13
9/6/2004,1:06,-0.11
9/6/2004,1:12,-0.12
9/6/2004,1:18,-0.12
9/6/2004,1:24,-0.14
9/6/2004,1:30,-0.12
9/6/2004,1:36,-0.12
9/6/2004,1:42,-0.12
9/6/2004,1:48,-0.12
9/6/2004,1:54,-0.07
9/6/2004,2:00,-0.05
9/6/2004,2:06,-0.03
9/6/2004,2:12,0.01
9/6/2004,2:18,0.07
9/6/2004,2:24,0.1
9/6/2004,2:30,0.16
9/6/2004,2:36,0.19
9/6/2004,2:42,0.24
9/6/2004,2:48,0.25
9/6/2004,2:54,0.32
9/6/2004,3:00,0.39
9/6/2004,3:06,0.44
9/6/2004,3:12,0.5
9/6/2004,3:18,0.56
9/6/2004,3:24,0.62
9/6/2004,3:30,0.66
9/6/2004,3:36,0.74
9/6/2004,3:42,0.78
9/6/2004,3:48,0.85
9/6/2004,3:54,0.91
9/6/2004,4:00,0.93
9/6/2004,4:06,0.99
9/6/2004,4:12,1.04
9/6/2004,4:18,1.07
9/6/2004,4:24,1.15
9/6/2004,4:30,1.21
9/6/2004,4:36,1.27
9/6/2004,4:42,1.31
9/6/2004,4:48,1.34
9/6/2004,4:54,1.41
9/6/2004,5:00,1.45
9/6/2004,5:06,1.48
9/6/2004,5:12,1.51
9/6/2004,5:18,1.56
9/6/2004,5:24,1.6
9/6/2004,5:30,1.61
9/6/2004,5:36,1.63
9/6/2004,5:42,1.64
9/6/2004,5:48,1.67
9/6/2004,5:54,1.69
9/6/2004,6:00,1.69
9/6/2004,6:06,1.73
9/6/2004,6:12,1.74
9/6/2004,6:18,1.75
9/6/2004,6:24,1.76
9/6/2004,6:30,1.75
9/6/2004,6:36,1.75
9/6/2004,6:42,1.73
9/6/2004,6:48,1.75
9/6/2004,6:54,1.78
9/6/2004,7:00,1.75
9/6/2004,7:06,1.76
9/6/2004,7:12,1.71
9/6/2004,7:18,1.71
9/6/2004,7:24,1.69
9/6/2004,7:30,1.73
9/6/2004,7:36,1.71
9/6/2004,7:42,1.7
9/6/2004,7:48,1.68
9/6/2004,7:54,1.67
9/6/2004,8:00,1.63
9/6/2004,8:06,1.52
9/6/2004,8:12,1.51
9/6/2004,8:18,1.47
9/6/2004,8:24,1.44
9/6/2004,8:30,1.33
9/6/2004,8:36,1.28
9/6/2004,8:42,1.22
9/6/2004,8:48,1.17
9/6/2004,8:54,1.1
9/6/2004,9:00,1.03
9/6/2004,9:06,0.94
9/6/2004,9:12,0.91
9/6/2004,9:18,0.81
9/6/2004,9:24,0.72
9/6/2004,9:30,0.62
9/6/2004,9:36,0.55
9/6/2004,9:42,0.47
9/6/2004,9:48,0.38
9/6/2004,9:54,0.33
