Date,Time (GMT),Verified (ft)
9/5/1961,0:00,0.59
9/5/1961,1:00,-0.41
9/5/1961,2:00,-1.31
9/5/1961,3:00,-1.81
9/5/1961,4:00,-2.01
9/5/1961,5:00,-1.81
9/5/1961,6:00,-1.21
9/5/1961,7:00,-0.71
9/5/1961,8:00,0.19
9/5/1961,9:00,0.69
9/5/1961,10:00,0.89
9/5/1961,11:00,0.79
9/5/1961,12:00,0.29
9/5/1961,13:00,-0.51
9/5/1961,14:00,-1.31
9/5/1961,15:00,-2.01
9/5/1961,16:00,-2.21
9/5/1961,17:00,-1.81
9/5/1961,18:00,-1.41
9/5/1961,19:00,-0.51
9/5/1961,20:00,0.39
9/5/1961,21:00,1.09
9/5/1961,22:00,1.59
9/5/1961,23:00,1.69
9/6/1961,0:00,1.19
9/6/1961,1:00,0.49
9/6/1961,2:00,-0.61
9/6/1961,3:00,-1.41
9/6/1961,4:00,-2.21
9/6/1961,5:00,-2.21
9/6/1961,6:00,-2.01
9/6/1961,7:00,-1.51
9/6/1961,8:00,-0.71
9/6/1961,9:00,0.09
9/6/1961,10:00,0.59
9/6/1961,11:00,0.79
9/6/1961,12:00,0.59
9/6/1961,13:00,0.09
9/6/1961,14:00,-0.81
9/6/1961,15:00,-1.71
9/6/1961,16:00,-2.21
9/6/1961,17:00,-2.31
9/6/1961,18:00,-1.91
9/6/1961,19:00,-1.31
9/6/1961,20:00,-0.41
9/6/1961,21:00,0.49
9/6/1961,22:00,1.49
9/6/1961,23:00,1.99
9/7/1961,0:00,1.99
9/7/1961,1:00,1.39
9/7/1961,2:00,0.49
9/7/1961,3:00,-0.51
9/7/1961,4:00,-1.51
9/7/1961,5:00,-2.31
9/7/1961,6:00,-2.31
9/7/1961,7:00,-1.81
9/7/1961,8:00,-1.11
9/7/1961,9:00,-0.41
9/7/1961,10:00,0.29
9/7/1961,11:00,0.89
9/7/1961,12:00,1.19
9/7/1961,13:00,0.59
9/7/1961,14:00,-0.21
9/7/1961,15:00,-1.11
9/7/1961,16:00,-1.91
9/7/1961,17:00,-2.51
9/7/1961,18:00,-2.41
9/7/1961,19:00,-1.81
9/7/1961,20:00,-0.91
9/7/1961,21:00,-0.01
9/7/1961,22:00,0.79
9/7/1961,23:00,1.49
9/8/1961,0:00,1.89
9/8/1961,1:00,1.79
9/8/1961,2:00,0.99
9/8/1961,3:00,-0.01
9/8/1961,4:00,-1.11
9/8/1961,5:00,-2.31
9/8/1961,6:00,-2.61
9/8/1961,7:00,-2.41
9/8/1961,8:00,-1.71
9/8/1961,9:00,-0.91
9/8/1961,10:00,-0.11
9/8/1961,11:00,0.49
9/8/1961,12:00,1.09
9/8/1961,13:00,0.99
9/8/1961,14:00,0.29
9/8/1961,15:00,-0.71
9/8/1961,16:00,-1.61
9/8/1961,17:00,-2.21
9/8/1961,18:00,-2.61
9/8/1961,19:00,-2.21
9/8/1961,20:00,-1.51
9/8/1961,21:00,-0.71
9/8/1961,22:00,0.29
9/8/1961,23:00,0.99
9/9/1961,0:00,1.59
9/9/1961,1:00,1.89
9/9/1961,2:00,1.29
9/9/1961,3:00,0.39
9/9/1961,4:00,-0.61
9/9/1961,5:00,-1.41
9/9/1961,6:00,-2.41
9/9/1961,7:00,-2.81
9/9/1961,8:00,-2.01
9/9/1961,9:00,-1.51
9/9/1961,10:00,-0.61
9/9/1961,11:00,0.09
9/9/1961,12:00,0.69
9/9/1961,13:00,1.19
9/9/1961,14:00,0.69
9/9/1961,15:00,-0.11
9/9/1961,16:00,-1.01
9/9/1961,17:00,-1.81
9/9/1961,18:00,-2.61
9/9/1961,19:00,-2.61
9/9/1961,20:00,-2.01
9/9/1961,21:00,-1.31
9/9/1961,22:00,-0.41
9/9/1961,23:00,0.59
9/10/1961,0:00,1.19
9/10/1961,1:00,1.69
9/10/1961,2:00,1.69
9/10/1961,3:00,0.89
9/10/1961,4:00,-0.11
9/10/1961,5:00,-1.01
9/10/1961,6:00,-2.01
9/10/1961,7:00,-2.91
9/10/1961,8:00,-2.81
9/10/1961,9:00,-2.01
9/10/1961,10:00,-1.11
9/10/1961,11:00,-0.31
9/10/1961,12:00,0.29
9/10/1961,13:00,0.89
9/10/1961,14:00,0.99
9/10/1961,15:00,0.49
9/10/1961,16:00,-0.41
9/10/1961,17:00,-1.31
9/10/1961,18:00,-2.31
9/10/1961,19:00,-2.91
9/10/1961,20:00,-2.71
9/10/1961,21:00,-2.01
9/10/1961,22:00,-1.11
9/10/1961,23:00,-0.31
9/11/1961,0:00,0.69
9/11/1961,1:00,1.29
9/11/1961,2:00,1.49
9/11/1961,3:00,0.99
9/11/1961,4:00,0.29
9/11/1961,5:00,-0.81
9/11/1961,6:00,-2.01
9/11/1961,7:00,-2.91
9/11/1961,8:00,-3.11
9/11/1961,9:00,-2.71
9/11/1961,10:00,-2.11
9/11/1961,11:00,-1.21
9/11/1961,12:00,-0.21
9/11/1961,13:00,0.59
9/11/1961,14:00,0.99
9/11/1961,15:00,0.89
9/11/1961,16:00,0.29
9/11/1961,17:00,-0.71
9/11/1961,18:00,-1.81
9/11/1961,19:00,-2.81
9/11/1961,20:00,-3.11
9/11/1961,21:00,-2.81
