Date,Time (GMT),Verified (ft)
10/17/2020,0:00,2.92
10/17/2020,0:06,2.94
10/17/2020,0:12,3.01
10/17/2020,0:18,3.03
10/17/2020,0:24,3.11
10/17/2020,0:30,3.23
10/17/2020,0:36,3.27
10/17/2020,0:42,3.32
10/17/2020,0:48,3.36
10/17/2020,0:54,3.38
10/17/2020,1:00,3.37
10/17/2020,1:06,3.34
10/17/2020,1:12,3.4
10/17/2020,1:18,3.42
10/17/2020,1:24,3.42
10/17/2020,1:30,3.4
10/17/2020,1:36,3.39
10/17/2020,1:42,3.33
10/17/2020,1:48,3.26
10/17/2020,1:54,3.2
10/17/2020,2:00,3.14
10/17/2020,2:06,3.04
10/17/2020,2:12,2.97
10/17/2020,2:18,2.91
10/17/2020,2:24,2.81
10/17/2020,2:30,2.75
10/17/2020,2:36,2.69
10/17/2020,2:42,2.57
10/17/2020,2:48,2.51
10/17/2020,2:54,2.39
10/17/2020,3:00,2.27
10/17/2020,3:06,2.16
10/17/2020,3:12,2.07
10/17/2020,3:18,1.99
10/17/2020,3:24,1.85
10/17/2020,3:30,1.74
10/17/2020,3:36,1.68
10/17/2020,3:42,1.55
10/17/2020,3:48,1.42
10/17/2020,3:54,1.25
10/17/2020,4:00,1.13
10/17/2020,4:06,1.02
10/17/2020,4:12,0.85
10/17/2020,4:18,0.75
10/17/2020,4:24,0.58
10/17/2020,4:30,0.47
10/17/2020,4:36,0.3
10/17/2020,4:42,0.2
10/17/2020,4:48,0
10/17/2020,4:54,-0.12
10/17/2020,5:00,-0.31
10/17/2020,5:06,-0.37
10/17/2020,5:12,-0.57
10/17/2020,5:18,-0.67
10/17/2020,5:24,-0.8
10/17/2020,5:30,-0.95
10/17/2020,5:36,-1.11
10/17/2020,5:42,-1.2
10/17/2020,5:48,-1.26
10/17/2020,5:54,-1.4
10/17/2020,6:00,-1.53
10/17/2020,6:06,-1.64
10/17/2020,6:12,-1.72
10/17/2020,6:18,-1.8
10/17/2020,6:24,-1.83
10/17/2020,6:30,-1.86
10/17/2020,6:36,-1.93
10/17/2020,6:42,-2.01
10/17/2020,6:48,-2.07
10/17/2020,6:54,-2.07
10/17/2020,7:00,-2.02
10/17/2020,7:06,-2.04
10/17/2020,7:12,-2.04
10/17/2020,7:18,-2.11
10/17/2020,7:24,-2.11
10/17/2020,7:30,-2
10/17/2020,7:36,-1.93
10/17/2020,7:42,-1.96
10/17/2020,7:48,-1.97
10/17/2020,7:54,-1.89
10/17/2020,8:00,-1.85
10/17/2020,8:06,-1.77
10/17/2020,8:12,-1.75
10/17/2020,8:18,-1.7
10/17/2020,8:24,-1.58
10/17/2020,8:30,-1.38
10/17/2020,8:36,-1.3
10/17/2020,8:42,-1.13
10/17/2020,8:48,-1.03
10/17/2020,8:54,-1
10/17/2020,9:00,-0.93
10/17/2020,9:06,-0.77
10/17/2020,9:12,-0.68
10/17/2020,9:18,-0.56
10/17/2020,9:24,-0.48
10/17/2020,9:30,-0.41
10/17/2020,9:36,-0.28
10/17/2020,9:42,-0.15
10/17/2020,9:48,0.05
10/17/2020,9:54,0.16
10/17/2020,10:00,0.32
10/17/2020,10:06,0.42
10/17/2020,10:12,0.62
10/17/2020,10:18,0.71
10/17/2020,10:24,0.89
10/17/2020,10:30,0.95
10/17/2020,10:36,1.12
10/17/2020,10:42,1.26
10/17/2020,10:48,1.37
10/17/2020,10:54,1.46
10/17/2020,11:00,1.63
10/17/2020,11:06,1.77
10/17/2020,11:12,1.91
10/17/2020,11:18,2.05
10/17/2020,11:24,2.16
10/17/2020,11:30,2.27
10/17/2020,11:36,2.38
10/17/2020,11:42,2.51
10/17/2020,11:48,2.62
10/17/2020,11:54,2.69
10/17/2020,12:00,2.78
10/17/2020,12:06,2.89
10/17/2020,12:12,2.96
10/17/2020,12:18,3.01
10/17/2020,12:24,3.12
10/17/2020,12:30,3.23
10/17/2020,12:36,3.29
10/17/2020,12:42,3.29
10/17/2020,12:48,3.34
10/17/2020,12:54,3.37
10/17/2020,13:00,3.42
10/17/2020,13:06,3.41
10/17/2020,13:12,3.52
10/17/2020,13:18,3.52
10/17/2020,13:24,3.6
10/17/2020,13:30,3.56
10/17/2020,13:36,3.53
10/17/2020,13:42,3.55
10/17/2020,13:48,3.56
10/17/2020,13:54,3.47
10/17/2020,14:00,3.47
10/17/2020,14:06,3.37
10/17/2020,14:12,3.23
10/17/2020,14:18,3.2
10/17/2020,14:24,3.16
10/17/2020,14:30,3.11
10/17/2020,14:36,2.95
10/17/2020,14:42,2.83
10/17/2020,14:48,2.85
10/17/2020,14:54,2.8
10/17/2020,15:00,2.72
10/17/2020,15:06,2.69
10/17/2020,15:12,2.63
10/17/2020,15:18,2.47
10/17/2020,15:24,2.37
10/17/2020,15:30,2.29
10/17/2020,15:36,2.17
10/17/2020,15:42,2.02
10/17/2020,15:48,1.91
10/17/2020,15:54,1.76
10/17/2020,16:00,1.64
10/17/2020,16:06,1.51
10/17/2020,16:12,1.42
10/17/2020,16:18,1.27
10/17/2020,16:24,1.15
10/17/2020,16:30,0.99
10/17/2020,16:36,0.86
10/17/2020,16:42,0.73
10/17/2020,16:48,0.55
10/17/2020,16:54,0.38
10/17/2020,17:00,0.19
10/17/2020,17:06,0.05
10/17/2020,17:12,-0.09
10/17/2020,17:18,-0.23
10/17/2020,17:24,-0.31
10/17/2020,17:30,-0.53
10/17/2020,17:36,-0.69
10/17/2020,17:42,-0.84
10/17/2020,17:48,-0.96
10/17/2020,17:54,-1.1
10/17/2020,18:00,-1.22
10/17/2020,18:06,-1.34
10/17/2020,18:12,-1.41
10/17/2020,18:18,-1.49
10/17/2020,18:24,-1.66
10/17/2020,18:30,-1.73
10/17/2020,18:36,-1.87
10/17/2020,18:42,-1.98
10/17/2020,18:48,-2.07
10/17/2020,18:54,-2.11
10/17/2020,19:00,-2.23
